DateTime,AddedIPs,RemovedIPs
1639794009,5,1
1639794727,3,7
1639795446,6,11
1639796165,7,8
1639797129,6,1
1639797848,6,13
1639798569,5,5
1639799525,6,5
1639800248,6,3
1639800966,2,3
1639801685,1,4
1639802407,2,5
1639803125,5,0
1639803849,5,4
1639804565,1,2
1639805285,2,3
1639806249,2,6
1639806965,0,1
1639807685,2,3
1639808651,4,3
1639809372,1,6
1639810088,1,0
1639810812,2,2
1639811525,2,0
1639812247,3,0
1639812967,2,2
1639813686,1,4
1639814405,4,2
1639815126,3,1
1639815853,3,1
1639816566,1,3
1639817286,3,1
1639818015,1,4
1639818726,1,0
1639819449,4,0
1639820408,4,2
1639821126,4,1
1639822090,7,1
1639822806,4,2
1639823525,1,0
1639824249,2,1
1639824968,0,1
1639825686,1,2
1639826407,2,1
1639827125,0,2
1639827849,1,1
1639828567,0,3
1639829528,6,0
1639830248,0,1
1639831207,2,1
1639832166,1,4
1639832886,1,5
1639833609,0,1
1639834325,1,5
1639835048,3,1
1639836736,4,2
1639837450,5,2
1639838171,1,1
1639838886,5,2
1639839606,5,1
1639840327,0,2
1639841049,6,0
1639841765,0,2
1639842488,2,2
1639843216,1,3
1639843927,0,1
1639844649,2,2
1639845370,2,2
1639846085,2,2
1639846807,3,5
1639847530,5,0
1639848246,4,1
1639848969,3,0
1639849685,3,0
1639850415,4,1
1639851125,2,3
1639851847,1,3
1639852570,3,1
1639853287,3,5
1639854006,1,2
1639854729,2,2
1639855449,0,2
1639856167,6,1
1639857131,1,2
1639857849,1,1
1639858570,4,3
1639859285,0,1
1639860007,1,5
1639860727,3,1
1639861450,2,2
1639862410,3,0
1639863129,2,2
1639863847,2,1
1639864452,5,6
1639865075,0,2
1639865793,2,2
1639866511,2,1
1639867229,4,4
1639867947,5,0
1639868614,2,4
1639869386,3,4
1639870110,0,1
1639870828,2,2
1639871552,0,2
1639872271,0,1
1639872989,3,1
1639873707,3,6
1639874428,5,6
1639875150,3,3
1639875878,2,3
1639876588,2,4
1639877308,2,1
1639878027,1,5
1639878771,2,1
1639879471,4,2
1639880189,2,2
1639880909,8,4
1639881630,3,12
1639882346,3,9
1639883073,7,0
1639883788,8,14
1639884509,4,0
1639885228,4,11
1639885949,3,2
1639886670,2,6
1639887386,2,0
1639888109,2,4
1639888829,4,9
1639889550,5,4
1639890271,3,2
1639890989,1,1
1639891708,1,0
1639892430,1,2
1639893149,2,1
1639893869,2,1
1639894588,2,3
1639895307,2,1
1639896027,2,5
1639896749,1,2
1639897475,1,0
1639898190,2,2
1639898912,2,1
1639899631,0,5
1639900346,1,1
1639901074,2,0
1639901787,3,0
1639902509,2,1
1639903230,1,1
1639903951,1,2
1639904672,4,3
1639905387,5,0
1639906107,3,2
1639906833,2,1
1639908273,3,6
1639908992,2,0
1639909709,1,5
1639910429,4,0
1639911150,4,1
1639911871,1,1
1639912588,2,1
1639913552,4,1
1639914270,3,2
1639914988,3,6
1639915710,1,1
1639916671,1,3
1639917389,1,2
1639918109,1,1
1639918832,1,5
1639919552,5,0
1639920270,1,3
1639920992,1,2
1639921709,2,4
1639922429,1,0
1639923151,1,1
1639923872,0,3
1639924587,3,7
1639925309,1,1
1639926039,1,2
1639926752,2,4
1639927471,1,1
1639928191,4,2
1639928908,1,1
1639929877,0,7
1639930588,2,1
1639931309,3,1
1639932032,1,2
1639932748,4,1
1639933470,3,0
1639934256,0,1
1639934908,0,1
1639935629,3,2
1639936594,2,2
1639937308,6,2
1639938081,6,4
1639938747,0,3
1639939471,7,1
1639940445,2,6
1639941151,6,6
1639941874,1,3
1639942591,0,2
1639943323,7,3
1639944043,2,2
1639944765,2,0
1639945474,2,6
1639946189,4,0
1639946907,3,2
1639947642,1,2
1639948349,1,0
1639949071,1,1
1639949790,1,0
1639950513,2,7
1639951239,1,2
1639951947,2,0
1639952670,1,7
1639953394,1,6
1639954351,4,1
1639955072,1,1
1639955788,3,2
1639956753,0,4
1639957469,0,2
1639958188,1,0
1639958908,0,3
1639959628,2,0
1639960346,5,0
1639961070,4,4
1639961790,0,4
1639962753,2,2
1639963467,5,3
1639964189,4,3
1639964910,1,1
1639965630,3,1
1639966347,1,5
1639967071,2,3
1639967792,9,8
1639968508,5,8
1639969230,3,7
1639969947,5,9
1639970667,6,6
1639971390,5,4
1639972348,7,7
1639973071,3,8
1639973789,6,0
1639974506,3,2
1639975229,2,9
1639975947,6,0
1639976673,1,7
1639977386,1,0
1639978111,2,1
1639978828,1,0
1639979551,2,5
1639980269,1,1
1639980990,2,0
1639981948,5,2
1639982670,0,2
1639983392,2,1
1639984348,4,0
1639985072,4,2
1639986509,2,3
1639987241,1,0
1639988669,0,2
1639989391,1,1
1639990106,3,2
1639990830,1,0
1639991548,0,2
1639992269,2,1
1639992989,4,0
1639993712,0,2
1639994443,3,4
1639995151,0,2
1639995870,3,0
1639996590,1,0
1639997308,2,2
1639998030,1,0
1639998751,3,1
1639999472,3,2
1640000189,2,0
1640000907,2,1
1640002349,0,5
1640003071,2,3
1640003793,4,2
1640004507,3,0
1640005231,1,3
1640006189,4,2
1640006906,0,3
1640008349,1,2
1640009073,1,2
1640010511,0,1
1640011230,2,2
1640011947,3,1
1640012670,3,0
1640013390,1,2
1640014108,1,2
1640014829,3,3
1640015549,2,0
1640016509,2,0
1640017228,0,1
1640017948,1,1
1640018669,0,1
1640019390,4,1
1640020107,2,2
1640020829,2,4
1640021547,0,3
1640022270,2,2
1640022989,4,2
1640023707,1,0
1640024428,1,3
1640025148,3,1
1640025868,4,3
1640026587,1,5
1640027307,0,1
1640028030,4,1
1640028747,4,4
1640029473,1,1
1640030191,2,1
1640030907,2,1
1640031630,1,4
1640032348,3,2
1640033069,4,1
1640033787,4,1
1640034508,3,3
1640035228,2,2
1640035950,3,3
1640036668,3,4
1640037635,2,2
1640038347,3,0
1640039070,0,2
1640039791,0,1
1640040507,0,1
1640041228,4,0
1640041946,2,3
1640042669,2,2
1640043392,2,0
1640044112,3,1
1640044832,1,2
1640045795,4,7
1640046510,1,4
1640047231,5,2
1640047948,1,2
1640048673,1,0
1640049630,3,5
1640050349,2,1
1640051071,3,1
1640051790,6,1
1640052507,4,7
1640053228,1,1
1640053949,7,7
1640054668,4,9
1640055389,7,5
1640056109,10,3
1640056828,3,12
1640057551,6,1
1640058269,4,6
1640058990,3,2
1640059709,0,4
1640060429,6,4
1640061150,3,8
1640061869,5,3
1640062589,6,1
1640063306,1,1
1640064027,3,2
1640064747,1,1
1640065708,2,1
1640066428,1,0
1640067098,1,3
1640067868,1,1
1640068589,3,3
1640069309,1,1
1640070030,4,1
1640070748,2,2
1640071473,0,1
1640072190,0,1
1640072912,3,1
1640073639,2,2
1640074350,2,3
1640075070,1,1
1640075791,1,0
1640076506,3,3
1640077237,0,2
1640077947,1,0
1640078668,0,1
1640079391,0,1
1640080106,2,0
1640081552,1,4
1640082269,2,1
1640082990,2,1
1640083948,1,2
1640084668,1,0
1640085391,2,1
1640086109,1,1
1640086832,6,0
1640087547,3,1
1640088271,5,3
1640088990,1,3
1640089710,1,0
1640090430,0,1
1640091151,2,2
1640091869,3,4
1640092587,0,1
1640093311,4,0
1640094031,4,1
1640094754,1,1
1640095469,1,1
1640096190,1,1
1640096907,2,1
1640097630,2,2
1640098348,4,2
1640099069,0,3
1640099789,1,0
1640101231,3,3
1640101947,1,0
1640102670,2,1
1640103387,1,1
1640104112,3,1
1640104830,0,2
1640105547,3,0
1640106270,1,4
1640106988,1,2
1640107706,1,3
1640108429,2,0
1640109149,0,7
1640109872,0,1
1640110587,2,0
1640112028,5,0
1640112748,5,2
1640113470,1,6
1640114909,1,3
1640115633,2,2
1640116348,5,0
1640117070,3,1
1640117790,2,6
1640118510,4,1
1640119951,4,5
1640120674,3,1
1640121387,2,0
1640122109,5,0
1640122828,2,4
1640123546,4,3
1640124269,0,4
1640124986,4,2
1640125709,2,0
1640126428,2,3
1640127153,1,1
1640128590,2,3
1640129307,2,6
1640130030,2,1
1640131471,4,6
1640132188,3,3
1640132908,2,0
1640133726,2,5
1640134348,2,2
1640135074,0,2
1640135788,1,1
1640136507,0,5
1640137228,1,2
1640137947,1,1
1640138675,3,2
1640139391,2,1
1640140118,8,5
1640140828,4,10
1640141546,8,9
1640142268,1,6
1640142987,12,10
1640143708,7,7
1640144429,2,4
1640145148,4,2
1640145871,0,3
1640146595,7,9
1640147307,3,0
1640148030,3,8
1640148746,6,0
1640149468,1,3
1640150190,2,0
1640151151,4,5
1640151869,2,2
1640152589,1,4
1640154028,2,0
1640154746,3,2
1640155471,3,2
1640156188,4,4
1640157150,1,0
1640157871,1,1
1640158589,1,0
1640159308,2,1
1640160038,3,2
1640160748,4,1
1640161469,0,1
1640162196,2,1
1640162908,2,0
1640163640,3,0
1640164429,1,6
1640165070,2,1
1640166507,0,1
1640167231,3,1
1640167947,5,0
1640168669,4,4
1640169387,1,0
1640170108,3,1
1640170841,0,1
1640171547,1,4
1640172270,1,4
