DateTime,AddedIPs,RemovedIPs
1638498968,0,1
1638501128,1,0
1638509527,0,1
1638513728,1,0
1638515887,3,0
1638518049,1,0
1638518767,2,0
1638522126,2,0
1638524167,0,2
1638527047,1,0
1638528128,1,0
1638530288,1,0
1638533227,1,0
1638538928,1,0
1638542528,1,1
1638545768,0,20
1638549011,3,1
1638553328,0,1
1638555487,1,0
1638557286,0,1
1638559089,2,0
1638559814,0,1
1638573487,3,0
1638574567,1,1
1638577088,1,0
1638578529,1,0
1638582130,5,0
1638582847,1,0
1638584647,16,0
1638585728,0,1
1638588969,0,1
1638594728,0,1
1638597247,0,2
1638599047,1,1
1638599768,0,1
1638602287,1,0
1638603011,0,1
1638612767,1,0
1638621367,0,1
1638623167,0,1
1638623887,1,0
1638625328,2,0
1638628569,0,1
1638632166,0,13
1638635410,0,1
1638639011,0,1
1638642250,0,1
1638642967,0,1
1638645126,1,0
1638646928,1,0
1638650168,0,1
1638652388,0,1
1638654129,0,1
1638657367,0,2
1638660616,0,3
1638662527,0,1
1638664567,0,1
1638666788,2,0
1638668528,1,0
1638672850,1,0
1638682210,0,1
1638685087,1,0
1638685810,2,3
1638686527,0,1
1638692648,0,2
1638693369,1,0
1638697328,0,2
1638700210,0,1
1638702728,1,0
1638704167,0,1
1638708128,0,1
1638712818,0,2
1638718568,0,2
1638723969,0,1
1638726247,2,0
1638727927,0,2
1638731170,2,0
1638743413,0,4
1638744608,1,0
1638747015,0,2
1638750249,2,0
1638751329,0,5
1638754210,0,18
1638756366,0,1
1638761411,1,0
1638761767,1,0
1638765013,0,1
1638768611,0,1
1638770767,1,0
1638772928,0,1
1638777966,1,0
1638781627,0,1
1638782773,3,0
1638784448,0,1
1638785169,1,0
1638793928,6,0
1638795727,0,2
1638798849,1,1
1638810368,0,1
1638811808,2,1
1638814387,0,1
1638816127,1,1
1638822969,6,0
1638825129,1,0
1638829811,1,0
1638835326,0,2
1638838447,0,2
1638839168,1,1
1638841327,18,0
1638843128,0,1
1638846728,2,0
1638849969,1,0
1638852488,1,0
1638855728,1,2
1638856447,1,0
1638860047,1,0
1638861486,10,0
1638865088,1,0
1638869770,2,0
1638870909,2,0
1638871569,1,0
1638874447,0,1
1638879847,1,0
1638885249,1,0
1638887414,1,0
1638890649,1,0
1638892448,0,1
1638896768,0,1
1638902528,0,1
1638906488,1,0
1638908648,1,0
1638914767,0,1
1638919089,5,0
1638919818,0,3
