DateTime,Entries,UniqueIPs
1639693448,3059,3059
1639694887,3052,3052
1639695619,3054,3054
1639696328,3061,3061
1639698127,3067,3067
1639698848,3069,3069
1639699568,3064,3064
1639700708,3073,3073
1639702447,3065,3065
1639703166,3066,3066
1639703527,3070,3070
1639704247,3076,3076
1639704966,3069,3069
1639706768,3086,3086
1639707487,3093,3093
1639707847,3093,3093
1639709647,3075,3075
1639711812,3072,3072
1639712887,3078,3078
1639713247,3081,3081
1639713969,3079,3079
1639714687,3086,3086
1639715417,3078,3078
1639716548,3084,3084
1639717566,3090,3090
1639717928,3093,3093
1639719010,3093,3093
1639719727,3093,3093
1639720448,3102,3102
1639722247,3111,3111
1639722968,3085,3085
1639723327,3094,3094
1639724046,3104,3104
1639725126,3098,3098
1639726211,3075,3075
1639726566,3082,3082
1639727286,3092,3092
1639729087,3084,3084
1639730528,3065,3065
1639731966,3071,3071
1639732687,3077,3077
1639733051,3079,3079
1639734848,3068,3068
1639735217,3059,3059
1639735928,3063,3063
1639736647,3069,3069
1639737366,3055,3055
1639738499,3065,3065
1639740248,3070,3070
1639740968,3071,3071
1639741687,3077,3077
1639742827,3091,3091
1639744568,3103,3103
1639745286,3113,3113
1639747087,3126,3126
1639747809,3118,3118
1639748949,3127,3127
1639750688,3144,3144
1639751412,3139,3139
1639752846,3151,3151
1639754646,3159,3159
1639755368,3154,3154
1639756087,3158,3158
1639757886,3155,3155
1639759687,3159,3159
1639760767,3164,3164
1639762568,3171,3171
1639764367,3156,3156
1639765088,3160,3160
1639765810,3158,3158
1639766528,3173,3173
1639767248,3186,3186
1639769411,3178,3178
1639770129,3179,3179
1639770846,3189,3189
1639772287,3192,3192
1639773726,3198,3198
1639774447,3203,3203
1639775167,3196,3196
1639775886,3203,3203
1639776611,3191,3191
1639776969,3191,3191
1639778768,3196,3196
1639779486,3199,3199
1639780566,3197,3197
1639781646,3210,3210
1639782367,3200,3200
1639784169,3207,3207
1639784528,3209,3209
1639785248,3214,3214
1639785968,3212,3212
1639786687,3224,3224
1639787411,3221,3221
1639788847,3238,3238
1639790647,3246,3246
1639791729,3209,3209
1639792087,3211,3211
1639793168,3211,3211
1639794609,3190,3190
1639795327,3194,3194
1639796046,3204,3204
1639796769,3187,3187
1639798928,3216,3216
1639799646,3222,3222
1639800367,3228,3228
1639801088,3236,3236
1639801814,3234,3234
1639802528,3241,3241
1639802887,3250,3250
1639804687,3260,3260
1639805411,3257,3257
1639806127,3263,3263
1639807566,3264,3264
1639808289,3268,3268
1639809010,3269,3269
1639809728,3276,3276
1639811527,3281,3281
1639812247,3290,3290
1639812967,3279,3279
1639813687,3286,3286
1639814418,3273,3273
1639815129,3281,3281
1639815846,3290,3290
1639816570,3288,3288
1639816928,3288,3288
1639817647,3302,3302
1639818367,3295,3295
1639819087,3303,3303
1639819445,3308,3308
1639821246,3323,3323
1639822327,3317,3317
1639823466,3322,3322
