DateTime,Entries,UniqueIPs
1639688044,3512,3512
1639689124,3516,3516
1639689484,3521,3521
1639690208,3516,3516
1639691284,3524,3524
1639691645,3529,3529
1639693445,3537,3537
1639694166,3520,3520
1639694884,3531,3531
1639695615,3519,3519
1639696325,3526,3526
1639697049,3534,3534
1639698124,3519,3519
1639698845,3525,3525
1639699566,3509,3509
1639702085,3511,3511
1639702444,3517,3517
1639703164,3507,3507
1639704609,3500,3500
1639704964,3500,3500
1639706765,3489,3489
1639707485,3500,3500
1639707845,3505,3505
1639709645,3505,3505
1639711809,3506,3506
1639712884,3512,3512
1639713244,3515,3515
1639713965,3497,3497
1639714684,3502,3502
1639715414,3489,3489
1639716545,3497,3497
1639717564,3496,3496
1639717925,3501,3501
1639719007,3480,3480
1639719725,3485,3485
1639720446,3491,3491
1639722244,3505,3505
1639722966,3492,3492
1639723325,3496,3496
1639724044,3503,3503
1639725123,3496,3496
1639726563,3503,3503
1639727284,3516,3516
1639729084,3525,3525
1639730526,3516,3516
1639731964,3552,3552
1639733046,3556,3556
1639734845,3554,3554
1639735213,3551,3551
1639735925,3556,3556
1639736645,3561,3561
1639737364,3544,3544
1639738493,3562,3562
1639740245,3572,3572
1639740964,3556,3556
1639741684,3564,3564
1639742825,3560,3560
1639744566,3597,3597
1639745284,3604,3604
1639747084,3610,3610
1639747807,3595,3595
1639748945,3584,3584
1639751409,3560,3560
1639752843,3572,3572
1639754644,3572,3572
1639755365,3566,3566
1639756084,3575,3575
1639757884,3577,3577
1639759684,3573,3573
1639760765,3571,3571
1639762566,3570,3570
1639764365,3571,3571
1639765085,3583,3583
1639765807,3566,3566
1639766525,3566,3566
1639767245,3574,3574
1639769408,3569,3569
1639770127,3565,3565
1639770844,3575,3575
1639772285,3575,3575
1639773723,3565,3565
1639774444,3568,3568
1639775164,3559,3559
1639775884,3565,3565
1639776608,3554,3554
1639776965,3552,3552
1639778766,3560,3560
1639779483,3571,3571
1639780564,3555,3555
1639781644,3568,3568
1639782365,3560,3560
1639784165,3552,3552
1639784524,3556,3556
1639785245,3565,3565
1639785965,3567,3567
1639786684,3573,3573
1639787408,3559,3559
1639788845,3576,3576
1639790645,3586,3586
1639791726,3572,3572
1639792084,3576,3576
1639793165,3576,3576
1639794606,3569,3569
1639795325,3570,3570
1639796044,3574,3574
1639796766,3572,3572
1639798925,3568,3568
1639799644,3573,3573
1639800364,3567,3567
1639801085,3576,3576
1639801811,3562,3562
1639802525,3568,3568
1639802885,3574,3574
1639804684,3581,3581
1639805408,3562,3562
1639806124,3569,3569
1639807563,3566,3566
1639808286,3581,3581
1639809008,3582,3582
1639809725,3584,3584
1639811524,3590,3590
1639812244,3601,3601
1639812965,3595,3595
1639813684,3603,3603
1639814414,3577,3577
1639815126,3588,3588
1639815844,3595,3595
1639816566,3593,3593
1639816926,3598,3598
1639817645,3632,3632
1639818363,3631,3631
1639820885,3642,3642
1639821964,3640,3640
1639822324,3644,3644
1639823463,3628,3628
1639824724,3625,3625
1639826284,3627,3627
1639827424,3617,3617
1639828534,3626,3626
1639830607,3630,3630
1639831325,3634,3634
1639832525,3643,3643
1639833484,3654,3654
1639833843,3659,3659
1639834566,3639,3639
1639834925,3641,3641
1639835645,3649,3649
1639836365,3644,3644
1639837086,3651,3651
1639837808,3639,3639
1639839245,3650,3650
1639839965,3644,3644
1639840326,3647,3647
1639841407,3636,3636
1639842845,3650,3650
1639843565,3642,3642
1639844284,3648,3648
1639845366,3638,3638
1639846563,3645,3645
1639847884,3638,3638
1639848245,3642,3642
1639849445,3627,3627
1639850584,3619,3619
1639851844,3631,3631
1639853645,3630,3630
1639854365,3603,3603
1639855086,3610,3610
1639855807,3599,3599
1639856978,3617,3617
1639857964,3620,3620
1639858685,3620,3620
1639860485,3615,3615
1639860845,3619,3619
1639861565,3615,3615
1639862285,3624,3624
1639863007,3608,3608
1639865165,3608,3608
1639865885,3619,3619
1639866607,3617,3617
1639867325,3623,3623
1639867685,3628,3628
1639869484,3641,3641
1639870212,3629,3629
1639870565,3627,3627
1639871284,3631,3631
1639873084,3626,3626
1639873808,3622,3622
1639874164,3621,3621
1639874885,3626,3626
1639875613,3625,3625
1639877407,3627,3627
1639878845,3645,3645
1639880285,3637,3637
1639881005,3628,3628
1639881726,3632,3632
1639882084,3637,3637
1639883887,3647,3647
1639884607,3641,3641
1639884965,3637,3637
1639885685,3634,3634
1639886044,3639,3639
1639887485,3629,3629
1639888925,3620,3620
1639889644,3628,3628
1639890365,3625,3625
1639890725,3629,3629
1639891444,3639,3639
1639891806,3623,3623
1639892525,3627,3627
1639893965,3626,3626
1639894325,3629,3629
1639896125,3615,3615
1639896845,3618,3618
1639898644,3618,3618
1639899006,3608,3608
1639900445,3607,3607
1639901164,3566,3566
1639901884,3575,3575
1639903684,3557,3557
1639904045,3582,3582
1639905123,3577,3577
1639905848,3588,3588
1639907645,3592,3592
1639909445,3590,3590
1639910164,3576,3576
1639910883,3587,3587
1639911246,3588,3588
1639912384,3581,3581
1639913524,3516,3516
1639914663,3522,3522
1639916285,3522,3522
1639916644,3525,3525
1639917364,3516,3516
1639918444,3523,3523
1639919165,3528,3528
1639920964,3530,3530
1639922044,3546,3546
1639924210,3543,3543
1639924924,3550,3550
1639925646,3563,3563
1639926364,3556,3556
1639927084,3563,3563
1639927808,3553,3553
1639929243,3555,3555
1639930684,3556,3556
1639931406,3550,3550
1639931765,3550,3550
1639932846,3565,3565
1639933924,3567,3567
1639935724,3551,3551
1639936443,3558,3558
1639937164,3551,3551
1639938245,3567,3567
1639938964,3574,3574
1639939684,3588,3588
1639940764,3609,3609
1639941125,3615,3615
1639942265,3615,3615
1639942925,3622,3622
1639943284,3631,3631
1639944365,3642,3642
1639944725,3647,3647
1639945443,3658,3658
1639946164,3643,3643
1639946884,3657,3657
1639947965,3657,3657
1639948685,3660,3660
1639949408,3647,3647
1639950124,3650,3650
1639950485,3654,3654
1639951625,3651,3651
1639952285,3660,3660
1639953008,3649,3649
1639954084,3654,3654
1639954444,3659,3659
1639955164,3657,3657
1639955527,3661,3661
1639956251,3672,3672
1639956972,3655,3655
1639957329,3660,3660
1639958525,3659,3659
1639959664,3673,3673
1639960924,3667,3667
1639961645,3674,3674
1639963807,3667,3667
1639965006,3682,3682
1639965964,3681,3681
1639966326,3685,3685
1639967407,3673,3673
1639967764,3669,3669
1639968484,3676,3676
1639969212,3676,3676
1639969566,3682,3682
1639971366,3677,3677
1639973166,3672,3672
1639973884,3680,3680
1639974612,3666,3666
1639976045,3682,3682
1639977844,3692,3692
1639979644,3688,3688
1639980365,3681,3681
1639981083,3692,3692
1639981444,3695,3695
1639982525,3681,3681
1639983613,3678,3678
1639984326,3688,3688
1639985407,3681,3681
1639986124,3682,3682
1639986484,3684,3684
1639987564,3647,3647
1639988284,3672,3672
1639989364,3660,3660
1639990446,3672,3672
1639992613,3651,3651
1639993329,3659,3659
1639994046,3664,3664
1639994764,3655,3655
1639995485,3662,3662
1639995845,3664,3664
1639996565,3648,3648
1639997646,3661,3661
1639999806,3643,3643
1640001244,3652,3652
1640001966,3637,3637
1640002684,3643,3643
1640004483,3628,3628
1640005564,3628,3628
1640006285,3637,3637
1640008085,3634,3634
1640008445,3639,3639
1640010250,3641,3641
1640010611,3631,3631
1640011328,3633,3633
1640012045,3640,3640
1640012415,3635,3635
1640013125,3639,3639
1640014925,3636,3636
1640015646,3653,3653
1640016364,3649,3649
1640017807,3644,3644
1640018886,3655,3655
1640019245,3657,3657
1640020325,3659,3659
1640021045,3670,3670
1640021766,3661,3661
1640022484,3671,3671
1640022844,3675,3675
1640023925,3671,3671
1640024285,3674,3674
1640025365,3660,3660
1640026084,3661,3661
1640027525,3660,3660
1640028611,3658,3658
1640029685,3666,3666
1640031485,3662,3662
1640032564,3631,3631
1640032924,3626,3626
1640033645,3636,3636
1640034725,3634,3634
1640035807,3619,3619
1640036884,3630,3630
