DateTime,AddedIPs,RemovedIPs
1639126347,24,46
1639128246,24,0
1639130167,23,32
1639132105,18,50
1639134011,20,0
1639135952,24,20
1639137859,21,33
1639140021,18,30
1639141936,20,18
1639143880,21,15
1639145775,21,0
1639147938,13,39
1639150096,16,16
1639153930,22,54
1639155849,28,24
1639157788,15,14
1639159691,10,14
1639161628,24,12
1639163527,26,15
1639165448,17,7
1639167388,24,15
1639169292,29,14
1639171226,20,11
1639173129,28,19
1639175067,21,10
1639176967,24,7
1639178907,26,12
1639180815,14,12
1639185127,15,28
1639187047,22,16
1639188985,25,17
1639191124,18,9
1639193045,18,19
1639194986,21,15
1639196886,24,19
1639198817,18,5
1639200750,20,20
1639202647,20,16
1639204589,22,17
1639206494,23,24
1639208427,21,16
1639210327,20,21
1639212487,23,18
1639214647,31,32
1639216590,18,20
1639220648,25,46
1639222585,22,35
1639224484,24,22
1639226647,26,24
1639228811,25,24
1639230746,24,21
1639232653,19,0
1639234806,29,16
1639238906,27,48
1639240803,20,0
1639242746,21,15
1639244646,27,21
1639246566,25,11
1639248505,18,25
1639250410,21,0
1639252350,14,24
1639254248,21,19
1639256419,28,11
1639258345,20,11
1639260247,18,21
1639262165,13,13
1639264105,19,19
1639266008,12,14
1639268166,18,0
1639270345,18,9
1639272245,14,23
1639274189,23,11
1639276086,20,7
1639278036,15,26
1639279924,17,15
1639282086,13,24
1639286168,23,40
1639288107,14,24
1639290005,19,24
1639291924,18,34
1639293845,20,28
1639295766,23,26
1639297948,21,41
1639299846,25,0
1639302026,25,45
1639303924,25,0
1639305847,26,27
1639307788,23,18
1639309685,23,23
1639311627,29,27
1639313524,20,26
1639315448,27,28
1639317387,16,24
1639319528,24,28
1639321480,18,32
1639323365,22,0
1639325548,23,26
1639327446,22,11
1639329387,26,24
1639331529,20,19
1639335365,22,35
1639337286,21,21
1639339236,19,17
1639341130,14,19
1639343069,19,19
1639344965,12,27
1639347147,20,15
1639349045,14,26
1639350988,15,13
1639353126,12,20
1639355070,20,15
1639356965,15,14
1639359149,11,27
1639361048,13,19
1639362990,23,4
1639364888,17,19
1639368728,23,35
1639372566,15,42
1639374485,13,21
1639376430,26,28
1639378326,23,22
1639380249,29,0
1639382185,22,0
1639384091,24,25
1639386033,22,17
1639387929,21,27
1639391794,33,23
1639393687,19,28
1639395631,17,26
1639397529,31,25
1639399691,24,25
1639401627,36,20
1639403531,23,25
1639405447,20,17
1639407390,21,23
1639409284,21,25
1639411452,32,51
1639413388,22,0
1639415529,26,28
1639417688,27,50
1639419604,27,0
1639421547,16,23
1639423449,25,24
1639425387,11,0
1639427289,21,16
1639429236,18,31
1639431127,18,20
1639433045,24,27
1639434992,11,19
1639436884,16,19
1639439050,13,24
1639440987,21,0
1639442891,21,24
1639444827,18,14
1639446726,13,21
1639448645,16,17
1639450569,16,19
1639452725,11,24
1639454669,13,17
1639456566,12,20
1639458723,10,14
1639460653,3,26
1639462585,9,19
1639464484,18,28
1639466647,24,21
1639468816,23,21
1639470967,14,26
1639473125,19,28
1639475045,21,22
1639476986,23,23
1639478884,14,27
1639481071,24,20
1639483234,26,21
1639485126,25,16
1639487068,21,29
1639488969,22,0
1639490906,15,25
1639492807,21,24
1639494725,23,19
1639496648,32,25
1639498830,16,20
1639500728,24,25
1639502670,16,22
1639504566,30,23
1639506506,21,25
1639508413,25,0
1639510324,24,26
1639512267,20,16
1639514168,17,16
1639516107,13,15
1639518004,12,13
1639520166,17,22
1639522327,19,0
1639524490,14,16
1639526438,14,8
1639528329,18,17
1639530489,13,25
1639534325,17,31
1639536488,17,26
1639538426,10,17
1639540338,21,15
1639542246,11,24
1639544187,10,24
1639546325,17,15
1639548248,12,22
1639550189,16,0
1639552093,16,33
1639554026,26,21
1639555923,24,30
1639557846,24,23
1639559789,20,29
1639561686,21,20
1639563848,19,20
1639565765,18,25
1639567708,25,20
1639569615,27,27
1639571813,21,24
1639573705,29,21
1639575608,19,23
1639577524,23,26
1639579469,16,14
1639581379,21,23
1639583309,19,0
1639585205,23,20
1639587368,23,24
1639589524,22,19
1639591469,24,0
1639593365,20,0
1639597446,22,55
1639599387,15,28
1639601288,28,43
1639603205,25,0
1639607525,16,50
1639609468,16,21
1639611365,22,0
1639613309,18,17
1639615206,24,16
1639617148,13,9
1639619045,18,17
1639620968,17,20
1639622907,16,22
1639624806,21,19
1639626725,14,17
1639628671,14,17
1639632726,20,49
1639634648,18,28
1639636588,24,28
1639638726,19,23
1639640647,26,31
1639642586,25,24
1639644486,22,21
1639646647,26,24
1639648585,15,22
1639650485,29,35
1639652413,32,27
1639654345,24,27
1639656248,21,23
1639658168,16,28
1639660108,18,28
1639662007,20,38
1639664167,19,23
1639666105,25,30
1639668024,23,35
1639670166,18,25
1639672108,28,28
1639676168,20,40
1639678109,22,21
1639680004,19,19
1639682166,18,20
1639684326,17,19
1639686248,20,0
1639688187,24,20
1639690088,19,22
1639692010,15,32
1639693947,12,0
1639695848,21,24
1639697789,21,27
1639699685,10,12
1639701606,21,20
1639703527,15,0
1639705448,19,18
1639707388,20,13
1639709284,26,14
1639711205,16,13
1639713129,14,0
1639715069,12,25
1639716964,19,0
1639719151,18,39
1639721046,7,17
1639725147,26,56
1639727046,33,0
1639729208,32,46
1639731152,37,20
1639733049,22,25
1639735030,29,20
1639736886,25,0
1639738840,22,46
1639740725,29,0
1639742650,28,26
1639744587,31,25
1639748646,30,42
1639750588,15,48
1639752484,23,0
1639754430,17,16
1639758272,20,19
1639760163,18,24
1639762085,14,24
1639765929,21,25
1639767868,20,28
1639769768,15,21
1639771705,13,21
1639773606,18,21
1639775551,19,26
1639777447,18,24
1639779386,13,28
1639781286,30,18
1639783204,15,22
1639785153,19,19
1639787048,14,22
1639788989,23,0
1639790887,26,18
1639792838,16,24
1639794724,16,25
1639796669,19,20
1639798567,15,16
1639800507,17,23
1639802404,19,21
1639804352,11,15
1639806246,16,12
1639808191,20,28
1639810085,25,25
1639812029,25,12
1639813925,17,21
1639815850,25,17
1639817786,17,20
1639819952,22,28
1639822086,22,19
1639824027,20,0
1639825924,21,25
1639827846,20,21
1639829787,22,20
1639831712,17,28
1639833607,21,0
1639835551,18,45
1639837448,15,0
1639839390,21,21
1639841549,22,28
1639843447,10,0
1639845367,20,29
1639847306,22,27
1639849469,14,38
1639851365,18,0
1639853284,20,23
1639855226,17,38
1639857128,26,0
1639859069,15,38
1639860964,26,0
1639863124,27,19
1639865072,21,33
1639869127,23,34
1639871046,17,14
1639872986,10,11
1639876804,21,16
1639878767,20,11
1639880646,20,27
1639884507,20,38
1639886408,19,10
1639890268,22,22
1639892166,19,19
1639894328,20,12
1639896487,23,17
1639898646,24,39
1639900568,22,21
1639902506,15,0
1639904412,40,23
1639906325,23,21
1639908270,17,28
1639910167,22,19
1639912328,23,25
1639914268,27,16
1639916169,27,24
1639918106,19,29
1639920008,30,21
1639921928,23,33
1639923869,24,22
1639925767,18,24
1639927927,28,20
1639929873,24,23
1639933927,26,45
1639936087,20,23
1639938077,19,21
1639939928,25,0
1639941872,18,19
1639945685,25,32
1639947639,16,19
1639949525,17,19
1639951689,17,12
1639953848,25,30
1639955785,14,0
1639957927,19,18
1639959845,18,0
1639961787,22,29
1639963930,19,0
1639965847,18,6
1639967789,19,14
1639969684,11,18
1639971851,32,21
1639973786,20,19
1639975687,24,0
1639977604,15,13
1639979549,12,17
1639981447,24,25
1639983390,15,29
1639987688,21,42
1639989848,23,29
1639991766,32,24
1639993709,21,27
1639997526,24,31
1639999469,23,27
1640001367,26,18
1640003524,27,26
1640005689,22,27
1640007628,30,35
1640009527,21,22
1640011688,23,24
1640013610,21,32
1640015546,23,20
1640017447,23,31
1640021287,18,48
1640023205,24,32
1640025145,17,26
1640027048,23,15
1640029209,18,21
1640031124,20,14
1640033066,14,20
1640034966,23,19
1640037129,15,16
1640039067,18,21
1640040968,25,8
1640043124,25,19
1640045290,20,16
1640047228,20,18
1640049128,12,16
1640051069,22,18
1640052965,20,14
1640055126,17,19
1640057045,20,15
1640058987,16,10
1640060883,11,16
1640063050,16,14
1640065212,24,9
1640067096,21,2
1640071235,25,35
1640073366,25,19
1640075526,19,25
1640077686,23,14
1640079603,24,15
1640081545,22,17
1640083449,19,19
1640085388,15,15
1640087290,22,15
1640091363,22,47
1640093308,23,17
1640095219,18,21
1640097125,19,14
1640099066,22,20
1640100968,17,24
1640103126,20,34
1640105286,21,19
1640107204,17,15
1640109147,26,15
1640111048,18,26
1640112965,23,16
1640114907,15,22
1640116811,11,24
1640118726,14,21
1640120672,14,22
1640122567,19,13
1640124727,19,9
1640126888,18,26
1640132906,20,44
1640134809,15,12
1640136724,19,12
1640138672,17,0
1640140568,15,13
1640142729,23,16
1640144645,18,7
1640146593,21,16
1640148488,19,10
1640150648,18,11
1640152585,23,7
1640154485,19,19
1640156652,18,18
1640158586,21,11
1640160483,28,26
1640162647,30,31
1640164805,28,21
1640166727,22,16
1640168667,22,19
1640170565,15,16
