DateTime,Entries,UniqueIPs
1639126347,7611,7923
1639128246,7635,7947
1639130167,7626,7938
1639132105,7596,7906
1639134011,7616,7926
1639135952,7620,7930
1639137859,7609,7918
1639140021,7597,7906
1639141936,7600,7908
1639143880,7606,7914
1639145775,7627,7935
1639147938,7603,7909
1639150096,7603,7909
1639153930,7570,7877
1639155849,7574,7881
1639157788,7576,7882
1639159691,7571,7878
1639161628,7582,7890
1639163527,7594,7901
1639165448,7604,7911
1639167388,7613,7920
1639169292,7628,7935
1639171226,7636,7944
1639173129,7644,7953
1639175067,7657,7964
1639176967,7672,7981
1639178907,7685,7995
1639180815,7687,7997
1639185127,7675,7984
1639187047,7681,7990
1639188985,7688,7998
1639191124,7697,8007
1639193045,7693,8006
1639194986,7699,8012
1639196886,7702,8017
1639198817,7712,8030
1639200750,7712,8030
1639202647,7719,8034
1639204589,7724,8039
1639206494,7721,8038
1639208427,7726,8043
1639210327,7725,8042
1639212487,7730,8047
1639214647,7728,8046
1639216590,7728,8044
1639220648,7706,8023
1639222585,7695,8010
1639224484,7697,8012
1639226647,7698,8014
1639228811,7698,8015
1639230746,7701,8018
1639232653,7720,8037
1639234806,7733,8050
1639238906,7709,8029
1639240803,7729,8049
1639242746,7735,8055
1639244646,7742,8061
1639246566,7754,8075
1639248505,7746,8068
1639250410,7766,8089
1639252350,7756,8079
1639254248,7761,8081
1639256419,7778,8098
1639258345,7786,8107
1639260247,7784,8104
1639262165,7782,8104
1639264105,7782,8104
1639266008,7781,8102
1639268166,7796,8120
1639270345,7806,8129
1639272245,7797,8120
1639274189,7814,8132
1639276086,7827,8145
1639278036,7817,8134
1639279924,7818,8136
1639282086,7807,8125
1639286168,7783,8108
1639288107,7772,8098
1639290005,7767,8093
1639291924,7751,8077
1639293845,7746,8069
1639295766,7741,8066
1639297948,7722,8046
1639299846,7747,8071
1639302026,7727,8051
1639303924,7752,8076
1639305847,7751,8075
1639307788,7757,8080
1639309685,7756,8080
1639311627,7758,8082
1639313524,7752,8076
1639315448,7751,8075
1639317387,7742,8067
1639319528,7736,8063
1639321480,7722,8049
1639323365,7744,8071
1639325548,7741,8068
1639327446,7752,8079
1639329387,7755,8081
1639331529,7756,8082
1639335365,7741,8069
1639337286,7741,8069
1639339236,7744,8071
1639341130,7734,8066
1639343069,7734,8066
1639344965,7719,8051
1639347147,7722,8056
1639349045,7711,8044
1639350988,7714,8046
1639353126,7706,8038
1639355070,7711,8043
1639356965,7712,8044
1639359149,7699,8028
1639361048,7693,8022
1639362990,7707,8041
1639364888,7706,8039
1639368728,7693,8027
1639372566,7666,8000
1639374485,7659,7992
1639376430,7656,7990
1639378326,7655,7991
1639380249,7682,8020
1639382185,7704,8042
1639384091,7706,8041
1639386033,7711,8046
1639387929,7704,8040
1639391794,7708,8050
1639393687,7698,8041
1639395631,7689,8032
1639397529,7693,8038
1639399691,7690,8037
1639401627,7705,8053
1639403531,7704,8051
1639405447,7707,8054
1639407390,7705,8052
1639409284,7700,8048
1639411452,7681,8029
1639413388,7703,8051
1639415529,7700,8049
1639417688,7677,8026
1639419604,7703,8053
1639421547,7695,8046
1639423449,7696,8047
1639425387,7707,8058
1639427289,7709,8063
1639429236,7698,8050
1639431127,7694,8048
1639433045,7691,8045
1639434992,7689,8037
1639436884,7686,8034
1639439050,7675,8023
1639440987,7696,8044
1639442891,7694,8041
1639444827,7696,8045
1639446726,7688,8037
1639448645,7687,8036
1639450569,7686,8033
1639452725,7674,8020
1639454669,7668,8016
1639456566,7659,8008
1639458723,7656,8004
1639460653,7633,7981
1639462585,7624,7971
1639464484,7614,7961
1639466647,7615,7964
1639468816,7618,7966
1639470967,7606,7954
1639473125,7597,7945
1639475045,7596,7944
1639476986,7596,7944
1639478884,7584,7931
1639481071,7586,7935
1639483234,7590,7940
1639485126,7598,7949
1639487068,7592,7941
1639488969,7614,7963
1639490906,7597,7953
1639492807,7593,7950
1639494725,7594,7954
1639496648,7600,7961
1639498830,7595,7957
1639500728,7594,7956
1639502670,7589,7950
1639504566,7596,7957
1639506506,7592,7953
1639508413,7617,7978
1639510324,7618,7976
1639512267,7620,7980
1639514168,7620,7981
1639516107,7617,7979
1639518004,7616,7978
1639520166,7612,7973
1639522327,7630,7992
1639524490,7629,7990
1639526438,7634,7996
1639528329,7640,7997
1639530489,7628,7985
1639534325,7615,7971
1639536488,7606,7962
1639538426,7598,7955
1639540338,7606,7961
1639542246,7593,7948
1639544187,7580,7934
1639546325,7583,7936
1639548248,7573,7926
1639550189,7589,7942
1639552093,7571,7925
1639554026,7574,7930
1639555923,7568,7924
1639557846,7568,7925
1639559789,7558,7916
1639561686,7559,7917
1639563848,7557,7916
1639565765,7548,7909
1639567708,7546,7914
1639569615,7546,7914
1639571813,7546,7911
1639573705,7554,7919
1639575608,7550,7915
1639577524,7547,7912
1639579469,7548,7914
1639581379,7544,7912
1639583309,7561,7931
1639585205,7565,7934
1639587368,7564,7933
1639589524,7567,7936
1639591469,7590,7960
1639593365,7609,7980
1639597446,7576,7947
1639599387,7564,7934
1639601288,7549,7919
1639603205,7573,7944
1639607525,7540,7910
1639609468,7535,7905
1639611365,7556,7927
1639613309,7557,7928
1639615206,7563,7936
1639617148,7567,7940
1639619045,7569,7941
1639620968,7567,7938
1639622907,7559,7932
1639624806,7560,7934
1639626725,7557,7931
1639628671,7554,7928
1639632726,7529,7899
1639634648,7524,7889
1639636588,7522,7885
1639638726,7517,7881
1639640647,7514,7876
1639642586,7516,7877
1639644486,7515,7878
1639646647,7517,7880
1639648585,7510,7873
1639650485,7503,7867
1639652413,7510,7872
1639654345,7507,7869
1639656248,7506,7867
1639658168,7491,7855
1639660108,7483,7845
1639662007,7465,7827
1639664167,7461,7823
1639666105,7455,7818
1639668024,7443,7806
1639670166,7439,7799
1639672108,7442,7799
1639676168,7423,7779
1639678109,7425,7780
1639680004,7425,7780
1639682166,7424,7778
1639684326,7422,7776
1639686248,7442,7796
1639688187,7444,7800
1639690088,7441,7797
1639692010,7421,7780
1639693947,7433,7792
1639695848,7433,7789
1639697789,7427,7783
1639699685,7424,7781
1639701606,7426,7782
1639703527,7439,7797
1639705448,7437,7798
1639707388,7443,7805
1639709284,7457,7817
1639711205,7459,7820
1639713129,7473,7834
1639715069,7460,7821
1639716964,7479,7840
1639719151,7459,7819
1639721046,7448,7809
1639725147,7420,7779
1639727046,7451,7812
1639729208,7439,7798
1639731152,7454,7815
1639733049,7449,7812
1639735030,7458,7821
1639736886,7482,7846
1639738840,7458,7822
1639740725,7487,7851
1639742650,7488,7853
1639744587,7494,7859
1639748646,7482,7847
1639750588,7450,7814
1639752484,7470,7837
1639754430,7468,7838
1639758272,7469,7839
1639760163,7464,7833
1639762085,7454,7823
1639765929,7453,7819
1639767868,7450,7811
1639769768,7443,7805
1639771705,7435,7797
1639773606,7432,7794
1639775551,7428,7787
1639777447,7422,7781
1639779386,7409,7766
1639781286,7420,7778
1639783204,7414,7771
1639785153,7413,7771
1639787048,7405,7763
1639788989,7426,7786
1639790887,7433,7794
1639792838,7426,7786
1639794724,7417,7777
1639796669,7415,7776
1639798567,7413,7775
1639800507,7407,7769
1639802404,7407,7767
1639804352,7403,7763
1639806246,7408,7767
1639808191,7399,7759
1639810085,7396,7759
1639812029,7407,7772
1639813925,7402,7768
1639815850,7410,7776
1639817786,7407,7773
1639819952,7401,7767
1639822086,7406,7770
1639824027,7424,7790
1639825924,7420,7786
1639827846,7419,7785
1639829787,7419,7787
1639831712,7410,7776
1639833607,7426,7797
1639835551,7399,7770
1639837448,7414,7785
1639839390,7414,7785
1639841549,7408,7779
1639843447,7417,7789
1639845367,7408,7780
1639847306,7404,7775
1639849469,7382,7751
1639851365,7400,7769
1639853284,7395,7766
1639855226,7374,7745
1639857128,7399,7771
1639859069,7375,7748
1639860964,7399,7774
1639863124,7407,7782
1639865072,7396,7770
1639869127,7384,7759
1639871046,7388,7762
1639872986,7386,7761
1639876804,7391,7766
1639878767,7401,7775
1639880646,7395,7768
1639884507,7379,7750
1639886408,7386,7759
1639890268,7386,7759
1639892166,7386,7759
1639894328,7394,7767
1639896487,7399,7773
1639898646,7384,7758
1639900568,7385,7759
1639902506,7399,7774
1639904412,7415,7791
1639906325,7417,7793
1639908270,7405,7782
1639910167,7405,7785
1639912328,7404,7783
1639914268,7413,7794
1639916169,7417,7797
1639918106,7407,7787
1639920008,7416,7796
1639921928,7406,7786
1639923869,7408,7788
1639925767,7402,7782
1639927927,7410,7790
1639929873,7411,7791
1639933927,7392,7772
1639936087,7389,7769
1639938077,7388,7767
1639939928,7412,7792
1639941872,7412,7791
1639945685,7404,7784
1639947639,7398,7781
1639949525,7395,7779
1639951689,7399,7784
1639953848,7403,7779
1639955785,7417,7793
1639957927,7417,7794
1639959845,7434,7812
1639961787,7427,7805
1639963930,7445,7824
1639965847,7457,7836
1639967789,7461,7841
1639969684,7454,7834
1639971851,7464,7845
1639973786,7465,7846
1639975687,7488,7870
