DateTime,AddedIPs,RemovedIPs
1639126347,53,56
1639128246,52,53
1639130167,56,48
1639132105,57,59
1639134011,51,58
1639135952,62,57
1639137859,58,62
1639140021,61,58
1639141936,57,57
1639143880,60,57
1639145775,66,64
1639147938,58,66
1639150096,55,58
1639153930,70,56
1639155849,61,69
1639157788,56,58
1639159691,45,52
1639161628,58,54
1639163527,67,57
1639165448,61,60
1639167388,59,65
1639169292,63,59
1639171226,60,62
1639173129,56,62
1639175067,63,56
1639176967,65,59
1639178907,56,69
1639180815,63,55
1639185127,67,66
1639187047,65,64
1639188985,64,66
1639191124,58,62
1639193045,69,60
1639194986,57,59
1639196886,60,65
1639198817,56,60
1639200750,58,57
1639202647,45,41
1639204589,62,60
1639206494,55,62
1639208427,52,55
1639210327,61,54
1639212487,69,66
1639214647,62,64
1639216590,54,62
1639220648,66,52
1639222585,56,64
1639224484,61,59
1639226647,60,61
1639228811,60,62
1639230746,61,57
1639232653,61,65
1639234806,66,62
1639238906,61,63
1639240803,62,62
1639242746,57,61
1639244646,61,56
1639246566,57,61
1639248505,56,56
1639250410,61,58
1639252350,53,61
1639254248,68,56
1639256419,58,68
1639258345,62,55
1639260247,61,64
1639262165,54,58
1639264105,49,50
1639266008,50,54
1639268166,62,51
1639270345,59,60
1639272245,60,56
1639274189,61,62
1639276086,52,60
1639278036,60,54
1639279924,56,58
1639282086,43,39
1639286168,65,63
1639288107,60,60
1639290005,71,67
1639291924,69,66
1639293845,60,70
1639295766,65,60
1639297948,58,67
1639299846,65,59
1639302026,55,62
1639303924,60,58
1639305847,60,57
1639307788,66,61
1639309685,68,69
1639311627,63,67
1639313524,54,59
1639315448,63,55
1639317387,66,63
1639319528,71,67
1639321480,59,70
1639323365,64,59
1639325548,63,64
1639327446,56,64
1639329387,59,55
1639331529,53,59
1639335365,63,58
1639337286,48,63
1639339236,58,44
1639341130,50,54
1639343069,52,49
1639344965,55,55
1639347147,55,58
1639349045,51,56
1639350988,46,47
1639353126,47,43
1639355070,56,49
1639356965,54,55
1639359149,58,59
1639361048,55,44
1639362990,54,65
1639364888,48,51
1639368728,54,53
1639372566,57,53
1639374485,55,58
1639376430,65,57
1639378326,73,65
1639380249,65,71
1639382185,61,66
1639384091,63,60
1639386033,64,65
1639387929,63,64
1639391794,67,66
1639393687,57,63
1639395631,55,57
1639397529,62,56
1639399691,61,62
1639401627,74,61
1639403531,57,75
1639405447,65,58
1639407390,65,66
1639409284,54,65
1639411452,66,53
1639413388,61,63
1639415529,60,61
1639417688,62,61
1639419604,60,63
1639421547,53,58
1639423449,58,56
1639425387,65,56
1639427289,66,65
1639429236,53,66
1639431127,65,55
1639433045,49,56
1639434992,56,56
1639436884,49,52
1639439050,48,51
1639440987,57,49
1639442891,56,57
1639444827,57,53
1639446726,51,60
1639448645,61,52
1639450569,56,63
1639452725,55,51
1639454669,53,54
1639456566,48,55
1639458723,50,48
1639460653,12,52
1639462585,37,14
1639464484,62,35
1639466647,61,63
1639468816,62,60
1639470967,54,63
1639473125,58,53
1639475045,49,56
1639476986,61,54
1639478884,60,57
1639481071,55,62
1639483234,67,57
1639485126,54,64
1639487068,55,56
1639488969,58,51
1639490906,52,62
1639492807,54,48
1639494725,55,53
1639496648,57,56
1639498830,56,57
1639500728,55,55
1639502670,57,57
1639504566,60,57
1639506506,59,62
1639508413,59,57
1639510324,56,59
1639512267,56,54
1639514168,59,59
1639516107,58,56
1639518004,40,58
1639520166,47,40
1639522327,59,49
1639524490,53,59
1639526438,59,52
1639528329,51,57
1639530489,55,55
1639534325,58,55
1639536488,62,56
1639538426,52,60
1639540338,54,51
1639542246,47,56
1639544187,43,43
1639546325,36,45
1639548248,47,27
1639550189,64,60
1639552093,51,63
1639554026,66,54
1639555923,55,63
1639557846,59,57
1639559789,66,61
1639561686,57,66
1639563848,60,54
1639565765,61,61
1639567708,68,64
1639569615,62,67
1639571813,62,60
1639573705,57,60
1639575608,60,58
1639577524,60,59
1639579469,47,58
1639581379,62,49
1639583309,61,60
1639585205,57,61
1639587368,57,57
1639589524,60,61
1639591469,62,59
1639593365,49,56
1639597446,63,54
1639599387,46,65
1639601288,61,45
1639603205,58,63
1639607525,50,56
1639609468,52,51
1639611365,58,54
1639613309,44,47
1639615206,63,55
1639617148,52,61
1639619045,63,51
1639620968,55,64
1639622907,61,56
1639624806,62,59
1639626725,50,60
1639628671,55,51
1639632726,57,54
1639634648,52,60
1639636588,54,53
1639638726,60,54
1639640647,64,60
1639642586,61,62
1639644486,65,62
1639646647,57,60
1639648585,56,61
1639650485,63,54
1639652413,70,68
1639654345,62,66
1639656248,57,64
1639658168,64,55
1639660108,62,66
1639662007,54,60
1639664167,62,59
1639666105,61,60
1639668024,64,63
1639670166,63,62
1639672108,66,63
1639676168,54,68
1639678109,59,52
1639680004,59,59
1639682166,53,56
1639684326,51,56
1639686248,68,53
1639688187,62,65
1639690088,51,63
1639692010,60,49
1639693947,50,57
1639695848,50,49
1639697789,52,51
1639699685,47,55
1639701606,63,47
1639703527,64,67
1639705448,47,62
1639707388,58,44
1639709284,56,55
1639711205,54,58
1639713129,56,56
1639715069,62,59
1639716964,54,59
1639719151,51,53
1639721046,37,50
1639725147,61,38
1639727046,68,63
1639729208,62,73
1639731152,62,58
1639733049,60,62
1639735030,58,60
1639736886,55,57
1639738840,65,56
1639740725,72,64
1639742650,62,72
1639744587,66,61
1639748646,59,68
1639750588,58,57
1639752484,67,59
1639754430,40,71
1639758272,63,38
1639760163,58,60
1639762085,58,60
1639765929,57,55
1639767868,60,55
1639769768,68,65
1639771705,55,64
1639773606,54,59
1639775551,55,55
1639777447,63,54
1639779386,67,67
1639781286,74,62
1639783204,57,71
1639785153,64,58
1639787048,60,63
1639788989,65,63
1639790887,65,66
1639792838,56,63
1639794724,61,53
1639796669,59,60
1639798567,61,64
1639800507,47,38
1639802404,67,72
1639804352,52,62
1639806246,62,54
1639808191,56,64
1639810085,63,57
1639812029,62,61
1639813925,60,65
1639815850,69,58
1639817786,59,70
1639819952,71,54
1639822086,59,75
1639824027,62,60
1639825924,59,58
1639827846,58,61
1639829787,61,57
1639831712,63,60
1639833607,67,64
1639835551,60,69
1639837448,60,60
1639839390,65,60
1639841549,61,62
1639843447,60,64
1639845367,64,59
1639847306,59,64
1639849469,56,61
1639851365,66,57
1639853284,68,63
1639855226,63,70
1639857128,72,63
1639859069,51,69
1639860964,55,51
1639863124,54,55
1639865072,65,56
1639869127,71,65
1639871046,49,67
1639872986,37,50
1639876804,64,40
1639878767,64,64
1639880646,66,65
1639884507,61,64
1639886408,68,60
1639890268,68,67
1639892166,55,66
1639894328,61,60
1639896487,68,63
1639898646,59,66
1639900568,69,59
1639902506,63,67
1639904412,72,63
1639906325,60,76
1639908270,60,57
1639910167,59,56
1639912328,71,65
1639914268,70,69
1639916169,68,71
1639918106,61,70
