DateTime,Entries,UniqueIPs
1639375202,8851,9227
1639376430,8846,9222
1639378326,8847,9224
1639379053,8930,9307
1639380249,8982,9363
1639380602,9224,9613
1639382185,9223,9612
1639384091,9251,9640
1639384202,9475,9871
1639386033,9480,9876
1639387929,9485,9880
1639391794,9742,10152
1639392302,9965,10380
1639393687,9961,10377
1639395631,9962,10378
1639395902,10223,10643
1639397529,10227,10649
1639399691,10277,10700
1639401627,10449,10878
1639403531,10483,10910
1639404003,10712,11145
1639405447,10717,11148
1639407390,10716,11146
1639409284,10722,11153
1639411452,10731,11164
1639413003,11210,11656
1639413388,11203,11649
1639415529,11214,11660
1639417688,11311,11758
1639419604,11323,11772
1639421547,11339,11788
1639423449,11555,12016
1639425387,11549,12011
1639426502,11838,12309
1639427289,11838,12313
1639429236,11834,12309
1639431127,11829,12305
1639433045,11844,12320
1639434992,12122,12605
1639436884,12212,12697
1639439050,12279,12769
1639440987,12435,12933
1639442891,9006,9369
1639443603,9132,9496
1639444827,9128,9492
1639446726,9137,9501
1639448645,9334,9710
1639450569,9635,10048
1639452730,9977,10513
1639454669,10190,10737
1639456566,10187,10734
1639458248,10189,10732
1639458723,10196,10739
1639459802,10545,11092
1639460653,10537,11084
1639462585,10534,11081
1639464484,10708,11260
1639464964,10721,11273
1639466647,10719,11269
1639467002,10870,11425
1639468816,10872,11427
1639470967,10870,11425
1639473125,10870,11425
1639475045,11165,11729
1639476003,11358,11927
1639476986,11378,11948
1639478884,11371,11934
1639481071,11456,12023
1639483234,11603,12171
1639485126,11677,12246
1639487068,11686,12254
1639488969,11680,12248
1639489503,12143,12732
1639490906,12141,12730
1639492807,12135,12724
1639494725,12135,12724
1639496648,12140,12729
1639498830,12477,13078
1639500728,12584,13193
1639501203,12757,13373
1639502670,12752,13368
1639504566,12749,13365
1639504803,12897,13516
1639506506,12894,13512
1639508413,12904,13522
1639510324,13050,13674
1639512267,13059,13682
1639514168,13061,13681
1639516107,13354,13980
1639518004,13352,13978
1639520166,13348,13975
1639522327,13360,13987
1639524490,13657,14292
1639526438,13718,14354
1639528329,13816,14458
1639529104,9189,9704
1639530489,9187,9700
1639532702,9345,9862
1639534325,9337,9854
1639536003,9344,9860
1639536488,9387,9906
1639537203,9620,10142
1639538426,9620,10142
1639540338,9629,10151
1639542246,9713,10235
1639543930,9812,10336
1639544187,9815,10339
1639544650,9816,10342
1639546325,9816,10340
1639548248,9824,10348
1639548902,10359,10893
1639550189,10366,10900
1639550883,10350,10885
1639552093,10347,10880
1639554026,10512,11048
1639555923,10517,11053
1639557846,10528,11065
1639558802,10898,11441
1639559789,10905,11448
1639561686,10917,11462
1639562402,11102,11660
1639563848,11098,11656
1639565765,11106,11665
1639567708,11109,11669
1639569615,11135,11697
1639571813,11539,12105
1639573705,11543,12110
1639575608,11696,12266
1639575902,11895,12471
1639577524,11899,12475
1639579469,11893,12470
1639579502,12053,12636
1639581379,12048,12631
1639583309,12256,12843
1639585205,12277,12864
1639586702,12428,13027
1639587368,12412,13011
1639589524,12414,13012
1639591469,12412,13009
1639593365,12416,13015
1639593902,12788,13398
1639597446,12774,13382
1639597503,12933,13547
1639599387,12928,13542
1639601288,13006,13621
1639603205,13091,13708
1639604703,13214,13832
1639607525,13208,13825
1639609468,13209,13827
1639610170,13202,13825
1639611365,13215,13836
1639611902,13573,14213
1639613309,13582,14222
1639615206,13586,14226
1639615503,8802,9106
1639617148,8804,9108
1639619045,8826,9132
1639620968,8867,9175
1639621923,8864,9171
1639622907,8861,9171
1639624806,9306,9628
1639626725,9305,9628
1639628671,9330,9653
1639631702,9743,10072
1639632726,9750,10075
1639633448,9709,10032
1639634648,9712,10035
1639635302,10052,10394
1639636588,10063,10405
1639637050,10088,10430
1639638726,10075,10418
1639640647,10088,10429
1639642586,10092,10433
1639644486,10696,11052
1639646647,10700,11057
1639648585,10702,11061
1639650485,10954,11319
1639652413,10964,11330
1639654345,10955,11320
1639656248,11303,11675
1639658168,11317,11692
1639660108,11290,11664
1639662007,11592,11968
1639662302,11739,12116
1639664167,11723,12100
1639666105,11739,12115
1639668024,11750,12125
1639670166,11987,12372
1639672108,12135,12523
1639676168,12123,12510
1639677602,12560,12959
1639678109,12556,12955
1639680004,12553,12951
1639681203,12716,13120
1639682166,12734,13138
1639684326,12727,13132
1639686248,12740,13147
1639688187,12734,13140
1639688403,13114,13528
1639690088,13109,13523
1639692010,13116,13531
1639692903,13321,13739
1639693947,13324,13741
1639695848,13344,13761
1639696326,13351,13768
