DateTime,AddedIPs,RemovedIPs
1639885899,29,17
1639886408,13,14
1639886619,30,30
1639887340,33,33
1639888059,23,41
1639888778,47,38
1639889498,42,27
1639890268,45,40
1639890940,43,31
1639891658,42,33
1639892166,16,13
1639892378,45,33
1639893098,36,26
1639893819,45,45
1639894328,13,23
1639894540,57,35
1639895258,55,27
1639895980,40,51
1639896487,15,0
1639896699,27,41
1639897419,51,23
1639898188,36,47
1639898646,17,16
1639898859,24,41
1639899578,32,35
1639900300,24,41
1639900568,12,0
1639901019,44,36
1639901740,34,31
1639902506,79,41
1639903180,46,22
1639903898,36,32
1639904412,26,33
1639904619,65,26
1639905340,52,33
1639906059,32,34
1639906325,19,20
1639906779,25,46
1639907498,49,36
1639908270,49,45
1639908941,28,26
1639909659,35,25
1639910167,17,0
1639910378,47,32
1639911099,29,21
1639911818,30,26
1639912328,14,33
1639912540,31,28
1639913050,0,11
1639913498,48,32
1639914268,62,29
1639914938,35,31
1639915659,41,85
1639916169,22,11
1639916619,67,53
1639917338,32,48
1639918106,58,48
1639918778,67,27
1639919499,59,34
1639920008,19,7
1639920218,50,25
1639920938,63,26
1639921658,59,33
1639921928,21,4
1639922378,50,25
1639923098,41,28
1639923869,65,48
1639924540,53,41
1639925258,59,28
1639925767,7,15
1639925979,45,29
1639926698,36,26
1639927204,4,0
1639927418,32,27
1639927927,24,20
1639928139,45,21
1639928858,34,18
1639929873,74,62
1639930538,37,35
1639931258,52,29
1639931979,39,41
1639932699,388,82
1639933419,30,30
1639933927,17,12
1639934252,0,85023
1639934858,85030,1
1639935578,44,24
1639936087,14,11
1639936540,36,50
1639937260,29,20
1639938077,48,38
1639938698,38,45
1639939418,46,43
1639939928,21,14
1639940379,48,29
1639941098,49,28
1639941872,43,44
1639942589,18,56
1639943259,31,47
1639943979,34,31
1639944698,42,30
1639945418,35,32
1639945685,16,0
1639946138,33,58
1639946858,31,33
1639947639,50,37
1639948298,37,45
1639949019,25,40
1639949525,13,13
1639949740,25,39
1639950459,29,31
1639951179,27,33
1639951689,11,18
1639951899,34,40
1639952619,33,29
1639953339,32,33
1639953848,21,13
1639954299,41,41
1639955019,27,32
1639955785,34,33
1639956699,51,46
1639957206,2,13
1639957418,35,27
1639957927,16,14
1639958140,29,17
1639958858,36,47
1639959578,36,54
1639959845,15,0
1639960298,35,33
1639961018,26,36
1639961787,43,50
1639962699,42,36
1639963418,34,34
1639963930,9,15
1639964138,35,27
1639964858,20,26
1639965578,33,38
1639965847,12,8
1639966299,43,35
1639967019,38,24
1639967789,35,39
1639968459,21,42
1639969179,26,56
1639969684,6,0
1639969899,27,30
1639970619,35,34
1639970883,2,0
1639971339,22,34
1639971851,22,24
1639972299,49,45
1639973020,19,21
1639973786,41,27
1639974458,30,30
1639975178,43,47
1639975687,13,21
1639975898,60,42
1639976619,38,23
1639977338,26,36
1639977604,13,0
1639978060,28,45
1639978780,26,42
1639979549,19,38
1639980219,21,54
1639980938,27,50
1639981447,19,13
1639981898,42,73
1639982618,38,39
1639983390,46,47
1639984299,40,50
1639985019,32,19
1639985740,31,28
1639986507,30,29
1639987179,32,40
1639987688,15,33
1639987898,41,37
1639988619,24,49
1639989338,29,38
1639989848,17,12
1639990059,38,30
1639990778,29,42
1639991498,44,40
1639991766,21,14
1639992219,30,46
1639992938,47,24
1639993709,62,35
1639994379,32,54
1639995098,31,35
1639995818,47,36
1639996539,30,36
1639997258,43,34
1639997526,19,35
1639997978,41,21
1639998698,66,28
1639999469,62,47
1640000138,77,35
1640000859,38,47
1640001124,1,15
1640001367,21,15
1640001578,54,41
1640002298,46,38
1640003019,53,44
1640003524,13,0
1640003739,60,36
1640004458,33,43
1640005180,41,63
1640005689,17,14
1640006139,39,72
1640006859,33,49
1640007628,84,75
1640008299,32,54
1640009020,44,48
1640009527,16,13
1640009764,39,40
1640010460,27,50
1640011179,25,43
1640011688,18,10
1640011898,32,55
1640012620,23,42
1640013338,14,35
1640013610,13,11
1640014059,43,36
1640014568,1,0
1640014778,37,46
1640015546,93,35
1640016014,1,12
1640016458,39,63
1640017178,23,36
1640017447,18,11
1640017899,28,49
1640018618,35,48
1640019338,58,337
1640020059,39,39
1640020778,24,20
1640021287,15,23
1640021498,41,35
1640022218,48,30
1640022940,33,30
1640023205,12,11
1640023658,91,34
1640024378,41,32
1640025145,36,56
1640025818,23,45
1640026538,26,44
1640027048,17,12
1640027259,30,47
1640027978,29,51
1640028699,29,30
1640029209,10,1
1640029419,40,30
1640030138,37,28
1640030648,3,21
1640030859,28,40
1640031124,14,11
1640031579,35,40
1640032298,24,27
1640033066,26,43
1640033740,35,36
1640034458,39,48
1640034966,14,0
1640035179,46,32
1640035899,33,27
1640036619,35,35
1640037129,8,14
1640037579,38,41
1640038300,28,45
1640039067,67,39
1640039738,30,37
1640040459,32,31
1640040968,18,0
1640041179,26,34
1640041899,34,26
1640042619,32,53
1640043124,21,18
1640043338,24,29
1640044060,24,29
1640044778,50,34
1640045290,14,24
1640045738,40,52
1640046459,28,28
1640047228,54,31
1640047899,31,27
1640048619,49,20
1640049128,4,11
1640049578,51,57
1640050299,35,36
1640051069,63,36
1640051740,13,33
1640052459,27,36
1640052965,13,9
1640053178,30,47
1640053444,1,0
1640053899,31,24
1640054618,21,27
1640055126,13,5
1640055338,24,22
1640056059,23,29
1640056778,29,37
1640057045,15,4
1640057498,25,27
1640058267,27,37
1640058987,37,25
1640059659,37,22
1640060166,0,21
1640060379,45,35
1640060883,7,8
1640061099,23,36
1640061819,21,53
1640062538,24,58
1640063050,10,8
1640063259,34,36
1640063979,46,33
1640064698,29,28
1640065212,16,5
1640065658,38,35
1640066379,25,19
1640067096,37,41
1640067818,36,35
1640068539,23,38
1640069259,34,44
1640069979,32,26
1640070698,27,37
1640071235,15,36
1640071419,39,34
1640072139,39,40
1640072860,43,24
1640073366,18,7
1640073579,40,29
1640074299,26,44
1640074804,0,11
1640075019,44,32
1640075526,15,11
1640075738,27,35
1640076459,30,45
1640077179,28,36
1640077686,20,13
1640077898,27,44
1640078619,16,25
1640079340,25,49
1640079603,16,12
1640080061,17,44
1640080779,40,36
1640081545,76,48
1640082219,13,34
1640082940,27,50
1640083449,12,17
1640083900,37,92
1640084618,45,46
1640085388,51,104
1640086059,26,56
1640086780,26,64
1640087290,16,10
1640087498,59,60
1640088219,28,53
1640088938,38,43
1640089446,3,7
1640089660,37,48
1640090378,30,62
1640091099,23,34
1640091363,20,22
1640091819,25,40
1640092538,35,27
1640093308,48,54
1640093980,32,63
1640094698,30,30
1640095219,14,0
1640095419,30,36
1640096138,34,48
1640096858,42,33
1640097125,12,8
1640097580,35,22
1640098298,43,32
1640099066,52,34
1640099738,44,24
1640100458,43,43
1640100968,9,13
1640101179,27,39
1640101945,21,79
1640102618,51,21
1640103126,16,0
1640103340,30,27
1640104110,45,40
1640104778,42,38
1640105286,15,13
1640105499,349,4393
1640106219,42,34
1640106938,28,30
1640107204,12,14
1640107659,27,39
1640108378,43,44
1640109147,58,48
1640109820,24,101
1640110540,37,35
1640111048,11,11
1640111259,41,47
1640111979,45,27
