DateTime,Entries,UniqueIPs
1639187047,4070,4070
1639188986,4075,4075
1639191125,4085,4085
1639193046,4081,4081
1639194987,4087,4087
1639196887,4088,4088
1639198818,4075,4075
1639200751,4078,4078
1639202648,4067,4067
1639204590,4077,4077
1639206495,4077,4077
1639208428,4071,4071
1639210327,4085,4085
1639212488,4095,4095
1639214648,4083,4083
1639216591,4081,4081
1639218484,4062,4062
1639220649,1775,1775
1639222586,1767,1767
1639224485,2300,2300
1639226648,2303,2303
1639228812,2309,2309
1639230746,2312,2312
1639232654,2317,2317
1639234808,2355,2355
1639236970,2377,2377
1639238906,2372,2372
1639240804,2384,2384
1639242747,2422,2422
1639244647,2469,2469
1639246567,2505,2505
1639248506,2510,2510
1639250411,2523,2523
1639252351,2540,2540
1639254249,2547,2547
1639256420,2555,2555
1639258345,2559,2559
1639260248,2559,2559
1639262166,2557,2557
1639264106,2558,2558
1639266009,2561,2561
1639268167,2966,2966
1639270346,2967,2967
1639272246,2970,2970
1639274190,2959,2959
1639276087,2987,2987
1639278037,2987,2987
1639279925,2991,2991
1639282086,2999,2999
1639284248,2991,2991
1639286169,2984,2984
1639288108,2979,2979
1639290006,2983,2983
1639291925,2981,2981
1639293846,2979,2979
1639295767,2981,2981
1639297948,2985,2985
1639299847,2988,2988
1639302027,2988,2988
1639303925,2985,2985
1639305847,2976,2976
1639307788,1840,1840
1639309686,1847,1847
1639311628,2381,2381
1639313525,2383,2383
1639315449,2391,2391
1639317388,2424,2424
1639319528,2439,2439
1639321481,2423,2423
1639323366,2448,2448
1639325549,2463,2463
1639327447,2471,2471
1639329388,2491,2491
1639331529,2542,2542
1639333469,2576,2576
1639335366,2618,2618
1639337286,2628,2628
1639339237,2643,2643
1639341130,2694,2694
1639343070,2750,2750
1639344965,2774,2774
1639347148,2785,2785
1639349045,2793,2793
1639350989,2821,2821
1639353127,2904,2904
1639355070,3433,3433
1639356966,3480,3480
1639359150,3539,3539
1639361049,3561,3561
1639362990,3660,3660
1639364889,3660,3660
1639366812,3742,3742
1639368728,3780,3780
1639370670,3800,3800
1639372567,3820,3820
1639374486,3863,3863
1639376431,3866,3866
1639378327,3903,3903
1639380250,3934,3934
1639382185,3968,3968
1639384092,3977,3977
1639386034,3988,3988
1639387930,4001,4001
1639389848,4017,4017
1639391795,4033,4033
1639393687,2985,2985
1639395632,3014,3014
1639397530,3489,3489
1639399691,3494,3494
1639401628,3498,3498
1639403532,3513,3513
1639405448,3519,3519
1639407391,3523,3523
1639409285,3535,3535
1639411453,3560,3560
1639413389,3598,3598
1639415529,3598,3598
1639417689,3619,3619
1639419605,3622,3622
1639421548,3624,3624
1639423450,3621,3621
1639425388,3623,3623
1639427289,3625,3625
1639429237,3629,3629
1639431128,3629,3629
1639433046,3638,3638
1639434992,3637,3637
1639436885,3651,3651
1639439050,3643,3643
1639440987,4041,4041
1639442892,4038,4038
1639444828,4029,4029
1639446727,4031,4031
1639448646,4029,4029
1639450570,4026,4026
1639452726,4020,4020
1639454670,4017,4017
1639456567,4018,4018
1639458724,4012,4012
1639460654,4011,4011
1639462585,4002,4002
1639464484,4002,4002
1639466648,4003,4003
1639468817,4010,4010
1639470967,4014,4014
1639473126,4014,4014
1639475046,4011,4011
1639476987,4017,4017
1639478885,4017,4017
1639481071,2503,2503
1639483235,3391,3391
1639485127,3365,3365
1639487068,3348,3348
1639488970,3319,3319
1639490907,3308,3308
1639492808,3266,3266
1639494726,3262,3262
1639496649,3250,3250
1639498831,3241,3241
1639500728,3230,3230
1639502671,3215,3215
1639504566,3212,3212
1639506507,3215,3215
1639508414,3204,3204
1639510324,3194,3194
1639512268,3176,3176
1639514169,3140,3140
1639516107,3129,3129
1639518005,3112,3112
1639520167,3095,3095
1639522328,3062,3062
1639524491,3023,3023
1639526439,3821,3821
1639528330,3790,3790
1639530490,3751,3751
1639532427,3726,3726
1639534326,3683,3683
1639536489,3645,3645
1639538427,3636,3636
1639540339,3625,3625
1639542246,3616,3616
1639544187,3603,3603
1639546326,3592,3592
1639548249,3590,3590
1639550189,3591,3591
1639552093,3572,3572
1639554026,3545,3545
1639555924,3538,3538
1639557847,3507,3507
1639559790,3497,3497
1639561687,3481,3481
1639563849,3454,3454
1639565766,3417,3417
1639567708,1518,1518
1639569616,2285,2285
1639571814,2299,2299
1639573706,2316,2316
1639575609,2329,2329
1639577525,2331,2331
1639579470,2327,2327
1639581379,2336,2336
1639583309,2305,2305
1639585205,2279,2279
1639587368,2245,2245
1639589524,2254,2254
1639591469,2261,2261
1639593366,2237,2237
1639595527,2235,2235
1639597447,2252,2252
1639599388,2235,2235
1639601289,2212,2212
1639603206,2207,2207
1639605391,2190,2190
1639607526,2173,2173
1639609469,2153,2153
1639611365,2142,2142
1639613309,2815,2815
1639615207,2824,2824
1639617149,2833,2833
1639619046,2835,2835
1639620968,2848,2848
1639622907,2845,2845
1639624807,2851,2851
1639626725,2812,2812
1639628672,2762,2762
1639630565,2752,2752
1639632726,2761,2761
1639634649,2772,2772
1639636589,2734,2734
1639638727,2743,2743
1639640647,2751,2751
1639642587,2743,2743
1639644486,2707,2707
1639646647,2694,2694
1639648586,2678,2678
1639650486,2673,2673
1639652413,1631,1631
1639654346,1665,1665
1639656249,2191,2191
1639658168,2238,2238
1639660108,2259,2259
1639662008,2277,2277
1639664168,2296,2296
1639666106,2302,2302
1639668024,2296,2296
1639670167,2298,2298
1639672109,2297,2297
1639674008,2295,2295
1639676169,2310,2310
1639678110,2314,2314
1639680005,2324,2324
1639682167,2343,2343
1639684327,2349,2349
1639686249,2363,2363
1639688188,2365,2365
1639690088,2378,2378
1639692011,2380,2380
1639693947,2390,2390
1639695848,2390,2390
1639697788,2386,2386
1639699686,2815,2815
1639701607,2829,2829
1639703528,2847,2847
1639705449,2853,2853
1639707389,2857,2857
1639709285,2852,2852
1639711205,2850,2850
1639713130,2859,2859
1639715070,2863,2863
1639716965,2861,2861
1639719151,2860,2860
1639721047,2864,2864
1639722989,2864,2864
1639725147,2886,2886
1639727047,2891,2891
1639729209,2896,2896
1639731153,2900,2900
1639733049,2903,2903
1639735030,2903,2903
1639736887,2905,2905
1639738841,1832,1832
1639740726,1801,1801
1639742651,2382,2382
1639744587,2391,2391
1639746487,2420,2420
1639748646,2437,2437
1639750589,2470,2470
1639752485,2476,2476
1639754431,2473,2473
1639756329,2482,2482
1639758272,2475,2475
1639760164,2484,2484
1639762086,2495,2495
1639764031,2500,2500
1639765930,2506,2506
1639767869,2510,2510
1639769769,2526,2526
1639771706,2523,2523
1639773607,2537,2537
1639775552,2538,2538
1639777448,2542,2542
1639779386,2536,2536
1639781287,2526,2526
1639783204,2493,2493
1639785154,2473,2473
1639787048,2978,2978
1639788990,2971,2971
1639790887,2974,2974
1639792839,2980,2980
1639794725,2981,2981
1639796670,2977,2977
1639798567,2975,2975
1639800508,2967,2967
1639802405,2968,2968
1639804353,2978,2978
1639806247,2980,2980
1639808192,2998,2998
1639810086,2989,2989
1639812029,2992,2992
1639813926,2979,2979
1639815851,2981,2981
1639817787,2959,2959
1639819953,2955,2955
1639822087,2948,2948
1639824027,2949,2949
1639825924,1758,1758
1639827847,1768,1768
1639829787,2346,2346
1639831712,2350,2350
1639833607,2350,2350
1639835552,2352,2352
1639837448,2361,2361
1639839391,2364,2364
1639841550,2387,2387
1639843448,2386,2386
1639845368,2384,2384
1639847306,2389,2389
1639849470,2397,2397
1639851366,2412,2412
1639853285,2413,2413
1639855227,2418,2418
1639857129,2405,2405
1639859070,2414,2414
1639860965,2413,2413
1639863125,2417,2417
1639865072,2422,2422
1639866969,2433,2433
1639869127,2446,2446
1639871046,2455,2455
1639872986,2953,2953
1639874885,2979,2979
1639876805,3001,3001
1639878767,2992,2992
1639880647,3013,3013
1639882565,3020,3020
1639884507,3013,3013
1639886409,3008,3008
1639888324,3006,3006
1639890269,3008,3008
1639892167,3003,3003
1639894328,3005,3005
1639896488,2998,2998
1639898647,2992,2992
1639900569,2977,2977
1639902507,2975,2975
1639904413,2970,2970
1639906326,2966,2966
1639908271,2960,2960
1639910168,2958,2958
1639912328,1783,1783
1639914268,1778,1778
1639916170,2341,2341
1639918107,2351,2351
1639920009,2364,2364
1639921929,2370,2370
1639923870,2372,2372
1639925768,2384,2384
1639927928,2396,2396
1639929874,2393,2393
1639931768,2416,2416
1639933928,2407,2407
1639936088,2400,2400
1639938077,2407,2407
1639939929,2428,2428
1639941872,2443,2443
1639943765,2439,2439
1639945686,2446,2446
1639947640,2446,2446
1639949525,2440,2440
1639951690,2445,2445
1639953849,2441,2441
1639955786,2436,2436
1639957927,2437,2437
1639959846,2896,2896
1639961788,2893,2893
1639963931,2891,2891
1639965848,2894,2894
1639967790,2889,2889
1639969684,2885,2885
1639971852,2884,2884
1639973787,2879,2879
1639975687,2918,2918
1639977605,2930,2930
1639979549,2927,2927
1639981448,2922,2922
1639983390,2925,2925
1639985530,2921,2921
1639987689,2935,2935
1639989849,2952,2952
1639991767,2958,2958
1639993710,2956,2956
1639995605,2954,2954
1639997526,2957,2957
1639999471,1819,1819
1640001368,1842,1842
1640003525,2385,2385
1640005690,2388,2388
1640007628,2393,2393
1640009527,2409,2409
1640011689,2424,2424
1640013611,2418,2418
1640015547,2421,2421
1640017447,2429,2429
1640019388,2438,2438
1640021288,2444,2444
1640023206,2454,2454
1640025146,2459,2459
1640027049,2474,2474
1640029210,2477,2477
1640031125,2478,2478
1640033067,2480,2480
1640034967,2483,2483
1640037130,2469,2469
1640039068,2461,2461
1640040968,2461,2461
1640043124,2469,2469
1640045290,2958,2958
1640047229,2925,2925
1640049129,2924,2924
1640051069,2926,2926
1640052966,2939,2939
1640055126,2947,2947
1640057046,2951,2951
1640058988,2962,2962
1640060884,2951,2951
1640063051,2952,2952
1640065213,2954,2954
1640067096,2953,2953
1640069048,2964,2964
1640071236,2964,2964
1640073367,2969,2969
1640075527,2973,2973
1640077687,2993,2993
1640079604,3005,3005
1640081546,3003,3003
1640083450,2995,2995
1640085389,1709,1709
1640087290,1692,1692
1640089447,2362,2362
1640091364,2367,2367
1640093309,2371,2371
1640095219,2378,2378
1640097126,2389,2389
1640099067,2408,2408
1640100969,2408,2408
1640103126,2419,2419
1640105287,2389,2389
1640107205,2356,2356
1640109147,2355,2355
1640111049,2339,2339
1640112966,2335,2335
1640114907,2320,2320
1640116812,2288,2288
1640118727,2287,2287
1640120672,2270,2270
1640122568,2248,2248
1640124728,2241,2241
1640126888,2253,2253
1640129047,2247,2247
1640130969,2225,2225
1640132906,2840,2840
1640134810,2839,2839
1640136725,2848,2848
1640138673,2846,2846
1640140569,2861,2861
1640142730,2864,2864
1640144646,2863,2863
1640146593,2857,2857
1640148489,2824,2824
1640150649,2788,2788
1640152587,2798,2798
1640154486,2780,2780
1640156653,2771,2771
1640158587,2749,2749
1640160484,2734,2734
1640162648,2725,2725
1640164806,2715,2715
1640166728,2726,2726
1640168667,2731,2731
1640170566,2742,2742
