DateTime,AddedIPs,RemovedIPs
1639813324,2,1
1639814524,1,14
1639815124,5,0
1639815723,3,6
1639816924,1,1
1639817523,1,6
1639818123,0,11
1639819324,7,9
1639819924,4,2
1639820524,9,2
1639821124,4,24
1639821724,4,1
1639822325,3,3
1639822924,1,0
1639823524,5,1
1639824124,3,9
1639824723,1,14
1639825324,5,0
1639825924,2,4
1639826524,3,1
1639827124,1,0
1639827724,1,0
1639828324,1,2
1639828924,3,0
1639830124,4,10
1639830724,2,1
1639831324,3,1
1639831923,3,0
1639832524,2,7
1639833724,2,1
1639834324,1,0
1639834925,3,1
1639835524,5,3
1639836725,29,1
1639837324,1,3
1639837924,5,0
1639838524,6,1
1639839124,47,5
1639840924,6,16
1639842124,4,3
1639842724,1,0
1639843324,4,3
1639844524,1,2
1639845123,6,5
1639845724,6,2
1639846323,4,0
1639846923,2,3
1639847524,5,3
1639848724,3,0
1639849324,2,3
1639849923,4,8
1639850523,2,0
1639851723,2,7
1639852324,2,1
1639852924,1,0
1639854124,1,0
1639855323,3,0
1639856524,6,0
1639857724,7,7
1639858924,5,7
1639859524,2,3
1639860125,3,3
1639861323,1,0
1639861924,1,0
1639862524,2,8
1639863124,3,0
1639863724,4,5
1639864324,9,0
1639864924,2,0
1639865525,1,5
1639866123,4,0
1639866724,2,1
1639867325,23,0
1639867924,2,1
1639868524,9,0
1639869723,1,2
1639870324,4,0
1639870924,0,14
1639871524,4,0
1639872123,2,0
1639873323,2,7
1639874523,7,0
1639875723,4,4
1639876923,1,3
1639877524,8,2
1639878125,7,2
1639878723,0,2
1639879324,0,7
1639879924,3,0
1639880523,2,2
1639881123,3,0
1639881724,8,0
1639882324,3,0
1639882924,1,0
1639883524,1,4
1639884123,2,2
1639884724,3,2
1639885324,5,0
1639886523,4,1
1639887724,1,2
1639888324,5,7
1639888924,5,0
1639889524,18,3
1639891324,0,5
1639891924,3,10
1639892525,2,0
1639893123,2,10
1639893724,1,5
1639894923,2,16
1639895524,13,0
1639896124,9,5
1639896724,6,3
1639897324,4,0
1639897924,1,5
1639898524,3,4
1639899124,2,0
1639899724,2,6
1639900324,2,0
1639900924,2,4
1639901524,3,0
1639902123,2,0
1639902724,8,4
1639903324,5,0
1639903924,0,3
1639904523,5,2
1639905124,3,0
1639905724,2,0
1639906324,32,3
1639906924,5,0
1639907523,6,6
1639908124,3,3
1639908725,4,2
1639909323,2,0
1639909923,3,3
1639910525,1,19
1639911724,5,0
1639912923,2,16
1639914124,1,0
1639914723,4,0
1639915323,3,5
1639915924,3,0
1639916523,1,0
1639917725,4,10
1639918324,5,15
1639918924,2,5
1639919524,3,0
1639920124,0,2
1639920724,7,4
1639921324,2,17
1639921923,2,0
1639922524,4,3
1639923723,0,7
1639924924,4,16
1639926124,1,11
1639926724,7,0
1639927324,5,3
1639927924,2,0
1639928525,2,0
1639929123,4,2
1639929723,3,2
1639930923,3,8
1639931524,3,0
1639932124,3,5
1639933324,5,1
1639934524,7,0
1639935124,2,8
1639935724,4,0
1639936323,2,0
1639936924,2,0
1639937524,1,2
1639938124,2,3
1639938724,2,2
1639939325,4,7
1639939924,4,0
1639940524,0,12
1639941125,4,0
1639941724,3,1
1639942924,5,1
1639943524,3,3
1639944123,2,5
1639944725,3,19
1639945924,4,9
1639947124,3,2
1639947724,2,0
1639948324,1,0
1639948923,2,4
1639950125,1,0
1639950724,4,14
1639951324,3,4
1639951924,3,0
1639953125,3,0
1639953725,51,0
1639954324,7,0
1639954925,3,1
1639956124,4,0
1639956725,3,0
1639957324,3,0
1639957924,6,5
1639958524,4,0
1639959125,3,0
1639959724,0,1
1639960324,4,3
1639960925,4,0
1639961524,3,0
1639962124,7,6
1639962725,3,0
1639963324,5,0
1639963924,4,8
1639964525,5,0
1639965124,10,3
1639965724,1,8
1639966325,2,0
1639966924,4,4
1639967525,2,0
1639968124,1,10
1639968724,4,0
1639969324,2,2
1639970524,3,24
1639971124,4,0
1639971724,3,0
1639972924,1,0
1639974125,5,6
1639974724,4,0
1639975324,5,0
1639975924,1,6
1639976524,1,8
1639977725,6,0
1639978324,1,3
1639978925,1,0
1639979524,7,2
1639980125,4,13
1639980727,1,2
1639981324,3,7
1639981925,2,0
1639982524,0,7
1639983125,15,0
1639983724,2,5
1639984325,1,0
1639984924,2,2
1639985524,5,1
1639986124,2,5
1639986724,4,7
1639987324,1,5
1639987924,1,0
1639988524,0,2
1639989725,2,13
1639990324,3,3
1639990924,4,52
1639991526,2,8
1639992124,2,0
1639993326,2,6
1639993924,5,35
1639994524,9,4
1639995724,2,0
1639996925,2,15
1639997524,0,3
1639998124,4,2
1639999324,3,19
1639999924,1,0
1640000524,2,3
1640001124,5,4
1640001725,2,0
1640002924,6,1
1640003525,2,4
1640004124,2,0
1640005324,0,23
1640005925,1,0
1640006524,5,2
1640007124,1,9
1640008324,4,10
1640008924,1,0
1640010124,5,6
1640010725,10,11
1640011325,5,9
1640011924,7,0
1640012524,0,2
1640013724,4,4
1640014924,2,13
1640015525,2,4
1640016124,1,11
1640016725,2,0
1640017324,4,3
1640018525,1,3
1640019124,3,3
1640019724,2,0
1640020324,10,0
1640020924,0,2
1640022724,5,8
1640023324,1,9
1640023924,47,22
1640024524,2,4
1640025124,21,4
1640025724,4,0
1640026324,1,7
1640026924,4,7
1640027526,2,0
1640028124,3,5
1640028724,5,4
1640029325,1,3
1640029924,3,3
