DateTime,AddedIPs,RemovedIPs
1639627925,0,2
1639629125,2,3
1639630324,3,4
1639630925,1,6
1639632125,1,0
1639632725,1,4
1639633925,1,0
1639634525,1,4
1639635125,2,0
1639636925,1,2
1639637524,1,0
1639638125,4,4
1639639324,1,3
1639640525,0,1
1639641724,1,1
1639642325,0,3
1639642924,0,3
1639643525,2,0
1639644723,1,0
1639645925,1,3
1639646524,2,0
1639647124,1,1
1639647724,1,0
1639648324,0,5
1639648924,1,2
1639649524,1,2
1639651324,0,1
1639655524,0,1
1639656124,0,1
1639657324,0,6
1639658524,0,1
1639661524,5,1
1639662724,1,0
1639663925,2,2
1639664524,1,4
1639665724,3,0
1639666924,1,1
1639668724,0,1
1639669924,2,3
1639670524,8,0
1639671724,0,2
1639672324,1,0
1639672925,1,3
1639674124,1,0
1639675323,1,0
1639675924,0,1
1639676525,1,0
1639678325,2,0
1639679525,1,0
1639680724,0,5
1639681323,1,0
1639682524,1,2
1639683725,2,3
1639684924,2,0
1639685525,1,4
1639686725,1,4
1639687325,0,1
1639688525,0,4
1639689125,1,0
1639690324,5,0
1639690925,0,1
1639691524,1,0
1639692124,0,1
1639693324,2,2
1639694524,3,7
1639696324,4,2
1639696925,4,0
1639698125,1,4
1639699324,4,0
1639700524,2,2
1639701124,1,0
1639702324,1,9
1639702924,1,0
1639703524,0,2
1639704123,2,0
1639705325,2,2
1639705924,2,0
1639706524,0,1
1639707124,1,0
1639708324,0,4
1639708924,1,0
1639711324,1,5
1639712525,0,2
1639714325,3,1
1639714924,3,1
1639716124,2,1
1639716724,1,0
1639717925,1,1
1639719124,1,0
1639719724,0,1
1639720924,0,3
1639721525,0,2
1639722724,0,2
1639723923,2,1
1639724523,5,0
1639725723,1,0
1639726324,0,3
1639728124,1,1
1639729324,2,6
1639730524,11,0
1639731124,4,0
1639732325,1,0
1639735324,0,4
1639736524,0,6
1639738324,1,0
1639740124,0,1
1639742523,2,0
1639744924,0,2
1639745524,1,0
1639746725,0,1
1639747924,0,2
1639749123,0,4
1639755124,1,0
1639755724,19,2
1639756324,3,2
1639757524,3,3
1639758724,0,1
1639759324,1,0
1639759923,0,2
1639761124,0,1
1639761723,0,2
1639762324,1,0
1639764725,0,2
1639765324,0,3
1639766525,2,0
1639767723,0,2
1639768324,0,2
1639769524,0,4
1639770724,1,0
1639771324,0,1
1639772524,1,1
1639773724,0,2
1639774324,1,3
1639774924,0,1
1639777924,1,0
1639778524,0,3
1639779125,0,3
1639779724,2,0
1639780324,0,2
1639781524,1,0
1639785124,1,2
1639786923,0,2
1639788124,0,2
1639790524,1,13
1639792323,0,3
1639793525,0,1
1639794723,0,4
1639795924,0,6
1639797124,0,2
1639798325,2,0
1639799524,2,0
1639800124,1,0
1639801323,7,4
1639801924,5,0
1639803724,34,0
1639804924,1,2
1639805524,3,28
1639806724,0,4
1639807926,2,4
1639808524,1,0
1639809124,0,5
1639810324,0,1
1639812123,1,0
1639813324,3,2
1639814524,6,0
1639815124,2,0
1639815723,1,0
1639816323,1,2
1639816924,0,1
1639818123,0,1
1639818725,16,1
1639819924,13,0
1639821124,7,24
1639821724,3,13
1639822924,3,2
1639824723,4,0
1639825324,1,0
1639828924,1,0
1639830724,0,1
1639831923,0,1
1639833724,3,0
1639835524,4,0
1639836725,0,4
1639837324,0,18
1639838524,0,3
1639839724,1,3
1639840924,1,10
1639842724,10,0
1639843924,1,5
1639845123,2,1
1639845724,3,0
1639846323,3,0
1639846923,1,0
1639847524,1,0
1639848124,1,1
1639848724,1,0
1639849324,1,0
1639849923,0,1
1639851124,0,1
1639852324,0,2
1639854124,1,0
1639855323,1,3
1639855923,2,0
1639857124,0,2
1639858324,2,2
1639858924,1,0
1639860125,1,4
1639861323,2,43
1639861924,2,0
1639862524,2,1
1639864324,1,0
1639865525,2,3
1639867924,2,2
1639869723,1,2
1639870324,1,1
1639870924,1,0
1639871524,1,0
1639873323,3,0
1639874523,1,0
1639875723,5,0
1639876923,3,2
1639877524,2,0
1639878125,2,1
1639878723,2,2
1639879324,3,1
1639880523,3,0
1639881123,1,2
1639882924,1,1
1639883524,2,6
1639885923,0,2
1639887724,1,1
1639888324,1,0
1639889524,1,1
1639890124,1,0
1639891324,4,6
1639893123,0,5
1639893724,53,24
1639895524,2,0
1639896124,1,5
1639896724,7,0
1639897924,2,1
1639899124,0,1
1639899724,0,1
1639901524,4,0
1639902724,5,1
1639903324,1,0
1639903924,2,4
1639905124,1,0
1639906324,1,4
1639907523,4,0
1639909323,5,6
1639910525,0,43
1639911724,8,0
1639912923,3,1
1639914124,19,0
1639914723,5,0
1639915323,1,0
1639915924,12,0
1639916523,2,0
1639918324,7,1
1639919524,9,0
1639921923,2,0
1639922524,1,0
1639923124,1,0
1639923723,4,2
1639924924,2,0
1639926124,5,0
1639927324,7,1
1639928525,1,1
1639929123,0,1
1639930324,5,0
1639931524,0,4
1639932124,1,0
1639932724,1,0
1639934524,1,0
1639935124,2,0
1639936924,3,5
1639937524,1,0
1639938724,1,1
1639940524,1,0
1639941125,8,0
1639941724,2,0
1639942324,2,0
1639942924,2,0
1639944123,3,1
1639944725,1,0
1639945924,0,4
1639947124,3,0
1639948324,2,8
1639948923,3,4
1639950125,4,0
1639950724,2,1
1639951324,3,1
1639952523,4,2
1639953125,2,0
1639953725,4,0
1639954324,0,2
1639956124,7,1
1639956724,4,0
1639957924,6,0
1639958524,6,0
1639959724,15,0
1639960324,2,0
1639961524,15,0
1639962124,10,0
1639962725,1,3
1639963324,3,3
1639964525,5,0
1639965124,6,3
1639966325,6,0
1639967525,8,4
1639968124,5,0
1639969324,2,2
1639969925,3,1
1639971724,1,2
1639972324,3,0
1639974125,2,3
1639974724,1,0
1639976524,0,3
1639978324,4,0
1639979524,4,3
1639980125,2,0
1639980727,1,3
1639981925,2,3
1639983724,1,0
1639984325,1,0
1639984924,1,0
1639985524,2,0
1639986724,1,3
1639987324,2,3
1639988524,0,1
1639990324,4,0
1639990924,2,1
1639992725,4,0
1639993326,0,1
1639994524,2,0
1639995724,2,2
1639996324,1,5
1639998124,3,0
1639999324,1,6
1639999924,1,0
1640000524,1,0
1640001725,0,2
1640003525,1,4
1640004724,1,0
1640005324,0,1
1640005925,1,0
1640006524,1,0
1640007124,0,4
1640008324,11,0
1640008924,5,0
1640010124,2,0
1640011924,0,1
1640013724,1,4
1640014324,0,5
1640015525,2,2
1640016725,1,0
1640017324,3,43
1640018525,1,1
1640019124,1,6
1640019724,1,0
1640020324,1,0
1640020924,2,2
1640022124,2,0
1640023324,1,2
1640023924,1,0
1640025724,0,2
1640026924,0,4
1640029924,0,3
1640031724,1,2
1640032325,0,2
1640032925,0,2
1640034124,1,0
1640034725,1,0
1640035324,1,2
1640037124,2,2
1640038325,1,3
1640040725,2,7
1640041324,2,1
1640042524,2,4
1640044325,1,0
1640044925,0,1
1640045525,0,2
1640046124,2,0
1640046724,2,1
1640047326,8,1
1640048525,4,4
1640049724,2,2
1640050324,2,1
1640051525,1,3
