DateTime,AddedIPs,RemovedIPs
1639756324,35,35
1639757524,25,25
1639758724,6,6
1639759324,12,12
1639759923,10,10
1639760524,14,14
1639761124,15,15
1639761723,18,18
1639762324,14,14
1639763524,30,30
1639764725,22,22
1639765324,9,9
1639766525,24,24
1639767123,2,2
1639767723,3,3
1639768324,9,9
1639769524,7,7
1639770125,7,7
1639770724,16,16
1639771324,19,19
1639772524,44,44
1639773125,4,4
1639773724,5,5
1639774324,8,8
1639774924,14,14
1639776124,14,14
1639777325,33,33
1639777924,12,12
1639778524,7,7
1639779125,7,7
1639779724,28,28
1639780324,19,19
1639780925,16,16
1639781524,11,11
1639782123,10,10
1639783324,18,18
1639785124,34,34
1639785724,8,8
1639786923,22,22
1639788124,55,55
1639788723,7,7
1639789324,25,25
1639790524,56,56
1639791124,7,7
1639792323,30,30
1639792923,8,8
1639793525,10,10
1639794723,34,34
1639795924,34,34
1639796524,26,26
1639797124,24,24
1639798325,22,22
1639798925,4,4
1639799524,11,11
1639800124,13,13
1639801323,31,31
1639801924,12,12
1639803724,82,82
1639804924,36,36
1639805524,18,18
1639806125,10,10
1639806724,9,9
1639807926,20,20
1639808524,11,11
1639809124,8,8
1639809724,7,7
1639810324,15,15
1639810923,10,10
1639811524,9,9
1639812123,7,7
1639813324,24,24
1639814524,18,18
1639815124,7,7
1639815723,4,4
1639816323,14,14
1639818123,17,17
1639818725,20,20
1639819924,27,27
1639821124,37,37
1639821724,15,15
1639822924,20,20
1639823524,13,13
1639824723,14,14
1639825324,7,7
1639825924,20,20
1639826523,10,10
1639827724,13,13
1639828324,5,5
1639828924,7,7
1639829525,14,14
1639831923,19,19
1639832524,2,2
1639833724,14,14
1639834324,21,21
1639835524,13,13
1639836124,3,3
1639836725,6,6
1639837324,11,11
1639837924,30,30
1639838524,5,5
1639839724,14,14
1639840924,26,26
1639841524,11,11
1639842124,11,11
1639842724,23,23
1639843324,9,9
1639843924,18,18
1639845123,52,52
1639845724,33,33
1639846323,24,24
1639846923,5,5
1639847524,23,23
1639848124,28,28
1639848724,14,14
1639849324,25,25
1639849923,15,15
1639851124,19,19
1639852324,33,33
1639852924,17,17
1639854124,30,30
1639855323,28,28
1639855923,35,35
1639857124,48,48
1639858324,60,60
1639858924,26,26
1639859524,46,46
1639860125,56,56
1639861323,64,64
1639861924,43,43
1639862524,34,34
1639864324,69,69
1639864924,10,10
1639865525,28,28
1639866123,21,21
1639866724,15,15
1639867924,76,76
1639869723,71,72
1639870324,17,17
1639870924,15,15
1639871524,43,42
1639873323,58,58
1639874523,36,36
1639875723,81,81
1639876923,80,80
1639877524,46,46
1639878125,49,49
1639878723,51,51
1639879324,49,49
1639880523,53,53
1639881123,44,44
1639882924,47,47
1639883524,26,26
1639884724,42,42
1639885923,39,39
1639886523,21,21
1639887724,31,31
1639888324,20,20
1639889524,21,21
1639890124,39,39
1639891324,44,44
1639891924,27,27
1639892525,23,23
1639893123,21,21
1639893724,94,94
1639895524,96,96
1639896124,22,22
1639896724,34,34
1639897924,71,71
1639899124,47,47
1639899724,22,22
1639901524,75,75
1639902724,78,78
1639903324,30,30
1639903924,27,27
1639905124,47,47
1639906324,76,76
1639907523,49,49
1639909323,84,84
1639910525,41,41
1639911123,21,21
1639911724,44,44
1639912923,62,62
1639914124,61,61
1639914723,27,27
1639915323,15,15
1639915924,28,28
1639916523,21,21
1639917124,1,1
1639918324,16,16
1639919524,22,22
1639920124,25,25
1639920724,14,14
1639921324,12,12
1639921923,14,14
1639922524,16,16
1639923124,9,9
1639923723,19,19
1639924924,20,20
1639926124,50,50
1639927324,40,40
1639927924,17,17
1639928525,20,20
1639929123,5,5
1639930324,36,36
1639931524,47,47
1639932124,8,8
1639932724,13,13
1639934524,36,36
1639935124,21,21
1639936924,39,39
1639937524,13,13
1639938724,22,22
1639939325,27,27
1639939924,17,17
1639940524,25,25
1639941125,47,47
1639941724,50,50
1639942324,42,42
1639942924,33,33
1639944123,58,58
1639944725,26,26
1639945924,24,24
1639947124,51,51
1639948324,75,75
1639948923,65,65
1639950125,71,71
1639950724,44,44
1639951324,36,36
1639952523,41,41
1639953125,21,21
1639953725,45,45
1639954324,38,38
1639956124,89,89
1639956724,61,61
1639957924,92,92
1639958524,62,62
1639959724,85,85
1639960324,39,39
1639961524,86,86
1639962124,48,48
1639962725,67,67
1639963324,29,29
1639964525,79,79
1639965124,58,58
1639966325,93,93
1639967525,55,55
1639968124,39,39
1639969324,70,70
1639969925,19,19
1639971124,80,80
1639971724,44,44
1639972324,45,45
1639972924,15,15
1639973526,36,36
1639974125,47,47
1639974724,46,46
1639975324,33,33
1639975924,47,47
1639976524,18,18
1639977125,28,28
1639977725,52,52
1639978324,43,43
1639979524,76,76
1639980125,32,32
1639980727,27,27
1639981925,85,85
1639983724,85,85
1639984325,36,36
1639984924,51,51
1639985524,45,45
1639986724,69,69
1639987324,28,28
1639988524,32,32
1639989124,30,30
1639989725,31,31
1639990324,40,40
1639990924,45,45
1639991525,55,55
1639992725,69,69
1639993326,28,28
1639994524,44,44
1639995724,78,78
1639996324,50,50
1639998124,88,88
1639999324,89,89
1639999924,41,41
1640000524,13,13
1640001124,35,35
1640001725,15,15
1640002924,40,40
1640003525,30,30
1640004724,77,77
1640005324,24,24
1640005925,22,22
1640006524,29,29
1640007124,8,8
1640008324,46,46
1640008924,28,28
1640010124,35,35
1640010725,15,15
1640011924,20,20
1640012524,23,23
1640013724,24,24
1640014324,35,35
1640015525,74,74
1640016725,65,65
1640017324,50,50
1640018525,82,82
1640019124,30,30
1640019724,38,38
1640020324,24,24
1640020924,52,52
1640021524,37,37
1640022124,20,20
1640023324,63,63
1640023924,23,23
1640024524,47,47
1640025724,58,58
1640026924,35,35
1640028124,47,47
1640028724,7,7
1640029924,43,43
1640030524,13,13
1640031724,57,57
1640032325,18,18
1640032925,19,19
1640033525,21,21
1640034124,46,46
1640034725,57,57
1640035324,45,45
1640035925,47,47
1640037124,92,92
1640038325,75,75
1640039525,54,54
1640040725,81,81
1640041324,40,40
1640041924,36,36
1640042524,39,39
1640043125,45,45
1640043725,40,40
1640044325,29,29
1640044925,19,19
1640045525,13,13
1640046124,49,49
1640046724,37,37
1640047326,44,44
1640048525,84,84
1640049724,93,93
1640050324,47,47
1640050925,45,45
1640051525,40,40
1640052725,79,79
1640053324,84,84
1640053925,33,33
1640055125,74,74
1640055724,18,18
1640056325,34,34
1640056924,12,12
1640058125,71,71
1640058724,13,13
1640059324,34,34
1640059925,20,20
1640061125,36,36
1640061725,43,43
1640062324,28,28
1640062925,15,15
1640063525,29,29
1640064125,45,45
1640064725,53,53
1640065325,39,39
1640065925,55,55
1640067126,77,77
1640067724,44,44
1640068324,48,48
1640069524,84,85
1640070125,44,43
1640071324,57,57
1640071925,74,74
1640072525,35,35
1640073124,54,54
1640073724,43,43
1640074924,47,47
1640075524,9,9
1640076125,23,23
1640076725,50,50
1640077324,44,44
1640077925,45,45
1640078524,59,59
1640079725,83,83
1640080924,70,70
1640081524,28,28
1640082124,50,50
1640082724,50,50
1640083923,86,86
1640085125,78,78
1640085724,26,26
1640086324,30,30
1640087524,45,45
1640088123,17,17
1640089324,44,44
1640089924,5,5
1640090524,10,10
1640091124,18,18
1640092325,39,40
1640092924,14,14
1640093525,11,11
1640094724,17,17
1640095925,31,31
1640096524,11,10
1640097125,5,6
1640098324,19,18
1640099525,19,19
1640100124,22,22
1640100724,7,7
1640101924,17,17
1640103125,71,71
1640103724,24,24
1640104324,47,47
1640104925,30,30
1640105524,44,44
1640106725,26,26
1640107924,41,41
1640108525,26,26
1640109124,24,24
1640109724,11,12
1640110924,18,18
1640111525,22,22
1640112724,31,31
1640113324,22,22
1640113925,18,18
1640115125,60,59
1640115725,51,51
1640116924,63,63
1640117525,44,44
1640118124,11,11
1640119325,81,81
1640119924,56,56
1640120525,30,30
1640121125,62,62
1640121724,37,37
1640122325,43,43
1640123524,82,82
1640124725,65,65
1640125925,89,90
1640126525,41,40
1640127124,48,48
1640128325,94,95
1640129524,85,84
1640130125,62,62
1640130724,57,57
1640131925,89,89
1640132525,34,34
1640133726,90,90
1640134924,79,79
1640135525,21,21
1640136124,67,68
1640136725,68,68
1640137325,61,61
1640137925,48,48
1640138525,69,68
1640139125,53,54
1640140325,93,92
1640140926,42,42
1640141525,29,29
1640142125,50,50
1640143325,90,90
1640143925,44,44
1640145124,72,72
1640145725,28,28
1640146325,25,25
1640147524,64,64
1640148125,25,25
1640149324,44,44
1640149925,19,19
1640150524,35,36
1640151725,49,49
1640152325,59,58
1640153525,85,85
1640154724,77,77
1640155325,41,41
