DateTime,AddedIPs,RemovedIPs
1638557102,193,0
1638560702,161,0
1638562502,83,0
1638565203,103,0
1638567002,115,0
1638568802,86,0
1638572402,194,0
1638576003,157,4904
1638580503,232,0
1638584102,169,0
1638587702,190,0
1638591302,156,0
1638592202,49,0
1638594902,127,0
1638599402,193,0
1638603002,179,0
1638605702,148,0
1638608402,133,0
1638611102,141,0
1638614703,179,0
1638618302,167,0
1638623702,258,0
1638629102,242,0
1638632702,243,0
1638634502,95,0
1638636302,81,0
1638639002,111,0
1638639902,51,0
1638643502,190,0
1638647102,216,0
1638650702,205,0
1638654302,171,0
1638657903,185,1
1638662403,201,4730
1638666003,193,0
1638669602,172,0
1638672302,169,0
1638673203,61,0
1638676802,202,0
1638680402,219,0
1638684002,259,0
1638687602,169,0
1638692102,188,0
1638696602,193,0
1638703802,316,0
1638708303,161,0
1638711902,145,0
1638714602,104,0
1638718203,147,0
1638719102,34,0
1638726302,400,0
1638729902,140,0
1638730802,33,0
1638734403,143,0
1638741603,333,0
1638743402,94,0
1638745202,75,0
1638749702,218,4251
1638750602,67,0
1638751502,69,0
1638755102,206,0
1638758702,186,0
1638762302,172,0
1638769502,408,0
1638776702,477,0
1638781202,283,0
1638784802,211,0
1638787502,141,0
1638788402,43,0
1638792002,191,0
1638794702,289,0
1638798302,212,0
1638799202,40,0
1638801902,147,0
1638803703,88,0
1638806403,134,0
1638807302,54,0
1638810003,131,0
1638810902,55,0
1638811802,59,0
1638814502,137,0
1638818102,179,0
1638821702,169,0
1638828002,311,0
1638828902,32,0
1638832503,155,0
1638836102,150,4189
1638839702,191,0
1638843302,197,0
1638844202,50,0
1638846902,156,0
1638851402,219,0
1638855002,195,0
1638856802,81,0
1638859503,159,0
1638860402,56,0
1638866702,356,0
1638867602,43,0
1638871203,225,0
1638874802,231,0
1638875702,65,0
1638876602,68,0
1638879302,180,0
1638883802,258,0
1638887402,225,0
1638888302,48,0
1638890102,96,0
1638891903,96,0
1638897303,273,0
1638899102,73,0
1638904503,208,0
1638907202,108,0
1638909003,71,0
1638911702,105,0
1638912602,25,0
1638916203,129,0
1638919802,124,0
1638926102,231,4838
1638929702,144,0
1638931502,58,0
1638938702,296,0
1638945903,328,0
1638949502,167,0
1638950403,34,0
1638954003,137,0
1638956703,127,0
1638957603,35,0
1638960302,98,0
1638965702,253,0
1638969303,179,0
1638972902,204,0
1638975602,124,0
1638977403,126,0
1638983702,365,0
1638987302,207,0
1638989103,107,0
1638990902,97,0
1638992702,103,0
1638994503,107,0
1638998102,222,0
1639001702,227,0
1639005302,242,0
1639010702,295,4803
1639013402,208,0
1639015203,125,0
1639022402,460,0
1639023302,57,0
1639029603,520,0
1639032302,187,0
1639033203,55,0
1639036803,265,0
1639040402,257,0
1639047603,527,0
1639051203,244,0
1639055702,274,0
1639058402,150,0
1639059303,50,0
1639066502,482,0
1639070103,200,0
1639072803,144,0
1639073702,89,0
1639080902,313,0
1639084502,167,0
1639088102,132,0
1639091702,179,0
1639093502,80,0
1639097103,129,4142
1639100702,181,0
1639107902,354,0
1639112403,232,0
1639116002,161,0
1639116903,53,0
1639119603,167,0
1639123202,181,0
1639130402,375,0
1639132202,111,0
1639135802,228,0
1639137603,153,0
1639139402,87,0
1639146602,400,0
1639149302,169,0
1639151102,97,0
1639153802,141,0
1639159203,254,0
1639161002,78,0
1639162802,105,0
1639166402,165,0
1639169102,134,0
1639170002,36,0
1639170902,32,0
1639172702,98,0
1639177202,276,0
1639179902,116,0
1639182603,118,5212
1639183502,39,0
1639185302,92,0
1639188902,183,0
1639192502,198,0
1639194302,68,0
1639196102,60,0
1639199703,122,0
1639201502,51,0
1639205102,129,0
1639208702,120,0
1639209603,27,0
1639212302,90,0
1639215902,124,0
1639221303,222,0
1639223102,71,0
1639227603,198,0
1639228503,28,0
1639233002,180,0
1639235702,92,0
1639236603,37,0
1639239302,140,0
1639242902,165,0
1639243802,44,0
1639246502,117,0
1639250102,132,0
1639251002,41,0
1639253702,114,0
1639255502,73,0
1639259102,108,0
1639262702,120,0
1639263602,33,0
1639266302,117,0
1639273502,289,5066
1639278002,265,0
1639281602,182,0
1639283402,91,0
1639287002,164,0
1639288803,90,0
1639292403,190,0
1639293302,43,0
1639296903,208,0
1639297802,56,0
1639300503,159,0
1639301402,48,0
1639304102,118,0
1639305003,69,0
1639308602,159,0
1639313102,221,0
1639315802,101,0
1639317602,106,0
1639319402,74,0
1639321202,86,0
1639323902,136,0
1639327502,176,0
1639329302,79,0
1639331102,64,0
1639333802,138,0
1639338302,202,0
1639341902,149,0
1639345502,130,0
1639348202,123,0
1639349102,38,0
1639352702,127,0
1639353604,34,3550
1639359902,281,0
1639360802,51,0
1639368002,486,0
1639375202,423,0
1639376102,74,0
1639377002,50,0
1639380602,260,0
1639384202,248,0
1639388702,307,0
1639392302,237,0
1639395902,272,0
1639396803,47,0
1639399502,179,0
1639400402,44,0
1639404003,250,0
1639409402,312,0
